Time,H2O,H+,OH-
3850,1999999800177576595913163,199822423404087437,199822423404087437
3860,1999999800174058506626149,199825941493374451,199825941493374451
3870,1999999800171008524732025,199828991475268575,199828991475268575
3880,1999999800167227442000844,199832772557999756,199832772557999756
3890,1999999800163914945611706,199836085054388894,199836085054388894
3900,1999999800160666378777430,199839333621223170,199839333621223170
3910,1999999800158277499733315,199841722500267285,199841722500267285
3920,1999999800154352226125774,199845647773874826,199845647773874826
3930,1999999800152089811331725,199847910188668875,199847910188668875
3940,1999999800149869175743321,199850130824257279,199850130824257279
3950,1999999800147301752248937,199852698247751663,199852698247751663
3960,1999999800143988132441767,199856011867558833,199856011867558833
3970,1999999800140742432942160,199859257567058440,199859257567058440
3980,1999999800138354806896445,199861645193104155,199861645193104155
3990,1999999800136015119178241,199863984880822359,199863984880822359
4000,1999999800133713831565702,199866286168434898,199866286168434898
4010,1999999800129883870435563,199870116129565037,199870116129565037
4020,1999999800128105805415253,199871894194585347,199871894194585347
4030,1999999800126762226319092,199873237773681508,199873237773681508
4040,1999999800124650514059245,199875349485941355,199875349485941355
4050,1999999800121389587340014,199878610412660586,199878610412660586
4060,1999999800118989669084929,199881010330915671,199881010330915671
4070,1999999800116637129590442,199883362870410158,199883362870410158
4080,1999999800113930332102935,199886069667897665,199886069667897665
4090,1999999800112067769529426,199887932230471174,199887932230471174
4100,1999999800109849054821171,199890150945179429,199890150945179429
4110,1999999800107674205813693,199892325794186907,199892325794186907
4120,1999999800106338064814681,199893661935185919,199893661935185919
4130,1999999800103840533739551,199896159466261049,199896159466261049
4140,1999999800102172164689794,199897827835310806,199897827835310806
4150,1999999800100145312487385,199899854687513215,199899854687513215
4160,1999999800097764751475158,199902235248525442,199902235248525442
4170,1999999800095039862219745,199904960137780855,199904960137780855
4180,1999999800093949745359810,199906050254640790,199906050254640790
4190,1999999800091689467111287,199908310532889313,199908310532889313
4200,1999999800089479473957250,199910520526043350,199910520526043350
4210,1999999800087710235309091,199912289764691509,199912289764691509
4220,1999999800085970423282788,199914029576717812,199914029576717812
4230,1999999800083080246987956,199916919753012644,199916919753012644
4240,1999999800082230182188982,199917769817811618,199917769817811618
4250,1999999800081392103874304,199918607896126296,199918607896126296
4260,1999999800079786732481605,199920213267518995,199920213267518995
4270,1999999800077806715344359,199922193284656241,199922193284656241
4280,1999999800075472717061977,199924527282938623,199924527282938623
4290,1999999800073980656377984,199926019343622616,199926019343622616
4300,1999999800072120279975870,199927879720024730,199927879720024730
4310,1999999800070301456022530,199929698543978070,199929698543978070
4320,1999999800068907797215920,199931092202784680,199931092202784680
4330,1999999800067545716998027,199932454283002573,199932454283002573
4340,1999999800066209857609154,199933790142391446,199933790142391446
4350,1999999800064109418473150,199935890581527450,199935890581527450
4360,1999999800061651060241975,199938348939758625,199938348939758625
4370,1999999800060038601097104,199939961398903496,199939961398903496
4380,1999999800058061008959396,199941938991041204,199941938991041204
4390,1999999800056908938158950,199943091061841650,199943091061841650
4400,1999999800056573162412123,199943426837588477,199943426837588477
4410,1999999800055850100234628,199944149899765972,199944149899765972
4420,1999999800055144396311310,199944855603689290,199944855603689290
4430,1999999800052863448412685,199947136551587915,199947136551587915
4440,1999999800051423557271762,199948576442728838,199948576442728838
4450,1999999800050408404778306,199949591595222294,199949591595222294
4460,1999999800049007589294449,199950992410706151,199950992410706151
4470,1999999800048033190237568,199951966809763032,199951966809763032
4480,1999999800047869144178095,199952130855822505,199952130855822505
4490,1999999800046518454021091,199953481545979509,199953481545979509
4500,1999999800045594850707765,199954405149292835,199954405149292835
4510,1999999800045482908557406,199954517091443194,199954517091443194
4520,1999999800045374056084896,199954625943915704,199954625943915704
4530,1999999800044863911854811,199955136088145789,199955136088145789
4540,1999999800043579927163232,199956420072837368,199956420072837368
4550,1999999800042714499554799,199957285500445801,199957285500445801
4560,1999999800041466699092224,199958533300908376,199958533300908376
4570,1999999800039858317098069,199960141682902531,199960141682902531
4580,1999999800038676522889943,199961323477110657,199961323477110657
4590,1999999800037118709955537,199962881290045063,199962881290045063
4600,1999999800037574286783730,199962425713216870,199962425713216870
4610,1999999800036436095790999,199963563904209601,199963563904209601
4620,1999999800035318162204178,199964681837796422,199964681837796422
4630,1999999800033823667302283,199966176332698317,199966176332698317
4640,1999999800032754985348964,199967245014651636,199967245014651636
4650,1999999800031315853616597,199968684146384003,199968684146384003
4660,1999999800029905295586942,199970094704413658,199970094704413658
4670,1999999800028522595870630,199971477404129970,199971477404129970
4680,1999999800028350893705128,199971649106295472,199971649106295472
4690,1999999800027394583249322,199972605416751278,199972605416751278
4700,1999999800026062365250374,199973937634750226,199973937634750226
4710,1999999800025939447541285,199974060552459315,199974060552459315
4720,1999999800026216005795502,199973783994205098,199973783994205098
4730,1999999800025695954326455,199974304045674145,199974304045674145
4740,1999999800025186997110450,199974813002890150,199974813002890150
4750,1999999800024688727983272,199975311272017328,199975311272017328
4760,1999999800024988440314019,199975011559686581,199975011559686581
4770,1999999800024493476472899,199975506523527701,199975506523527701
4780,1999999800024802610874262,199975197389126338,199975197389126338
4790,1999999800023519352476711,199976480647523889,199976480647523889
4800,1999999800024241741681106,199975758258319494,199975758258319494
4810,1999999800024153060223747,199975846939776853,199975846939776853
4820,1999999800024069471095138,199975930528905462,199975930528905462
4830,1999999800023193983518939,199976806016481661,199976806016481661
4840,1999999800022342880619214,199977657119381386,199977657119381386
4850,1999999800022689221918299,199977310778082301,199977310778082301
4860,1999999800022241375266822,199977758624733778,199977758624733778
4870,1999999800022988385453732,199977011614546868,199977011614546868
4880,1999999800022135078868803,199977864921131797,199977864921131797
4890,1999999800020901431333732,199979098568666868,199979098568666868
4900,1999999800020086976923999,199979913023076601,199979913023076601
4910,1999999800019682705664361,199980317294336239,199980317294336239
4920,1999999800019295953273375,199980704046727225,199980704046727225
