Time\ number,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,Time\ Probability,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1
2300,10000000018662.0,81342,9999900020.0,80,1000,0,5486.0,4839.0,1,4,93,999999882.0,94,5000,101,0,5,2300,9.999999999e-11,8.133538401719325e-05,9.999999999e-11,7.999360051195904e-05,0.00968001146948998,0.04757094853640344,0.09090909090909091,0.09090909090909091,0.9664942665453379,0.05435002358649505,0.0002999100269919024,9.999999999e-11,0.0009391172298039843,2.207998682904073e-05,0.0029910269192422734,0.8911350637257359,0.017823328647349906
2400,10000000019325.0,80684,9999900021.0,79,1000,0,4915.0,5411.0,7,1,95,999999873.0,99,5000,74,0,10,2400,9.999999999e-11,8.067749061734703e-05,9.999999999e-11,7.899375949300005e-05,0.009671076905062078,0.047570948536403444,0.09090909090909091,0.09090909090909091,0.9664794218697659,0.0585188069128112,0.0002999100269919024,9.999999999e-11,0.000989020869339354,2.2962612413252876e-05,0.0029910269192422734,0.8911350622612191,0.017823322164565326
2500,10000000020007.0,79998,9999900022.0,78,1000,0,5539.0,4760.0,27,0,109,999999855.0,100,5000,61,0,9,2500,9.999999999e-11,7.999160083191666e-05,9.999999999e-11,7.799391647451498e-05,0.009661691025440355,0.04757094853640345,0.09090909090909091,0.09090909090909091,0.9664637471709433,0.05024681009592997,0.0002999100269919024,9.999999999e-11,0.0009990009990009992,2.3888597503820322e-05,0.0029910269192422734,0.8911319565677137,0.017823294612240873
2600,10000000020613.0,79396,9999900024.0,76,1000,0,4841.0,5409.0,6,2,117,999999848.0,95,5000,47,0,8,2600,9.999999999e-11,7.93896967756348e-05,9.999999999e-11,7.599422443894264e-05,0.009652197081153863,0.04757094853640345,0.09090909090909091,0.09090909090909091,0.9664469163003201,0.058504769939645665,0.0002999100269919024,9.999999999e-11,0.0009490983565612668,2.481185716353784e-05,0.0029910269192422734,0.8911300026943834,0.01782327354225186
2700,10000000021240.0,78763,9999900025.0,75,1000,0,4824.0,5473.0,7,1,128,999999835.0,95,5000,34,0,5,2700,9.999999999e-11,7.875679687840746e-05,9.999999999e-11,7.499437542184335e-05,0.009643085469643787,0.04757094853640346,0.09090909090909091,0.09090909090909091,0.9664307208839334,0.05895911421308862,0.0002999100269919024,9.999999999e-11,0.0009490983565612668,2.571149462105951e-05,0.0029910269192422734,0.8911287581194903,0.017823254092580912
2800,10000000021826.0,78174,9999900025.0,75,1000,0,5264.0,4967.0,10,3,131,999999829.0,89,5000,26,0,7,2800,9.999999999e-11,7.816788930342159e-05,9.999999999e-11,7.499437542184335e-05,0.009633846183221937,0.04757094853640346,0.09090909090909091,0.09090909090909091,0.9664138236958164,0.055310572147613646,0.0002999100269919024,9.999999999e-11,0.0008892086043421354,2.6605054838012664e-05,0.0029910269192422734,0.8911257380510285,0.01782323464249623
2900,10000000022420.0,77586,9999900026.0,74,1000,0,5329.0,4944.0,14,4,140,999999816.0,91,5000,18,0,5,2900,9.999999999e-11,7.757998087960348e-05,9.999999999e-11,7.399452440519402e-05,0.009624714617171671,0.047570948536403465,0.09090909090909091,0.09090909090909091,0.966396466619366,0.055466595498621124,0.0002999100269919024,9.999999999e-11,0.0009091726528858739,2.7513432006758412e-05,0.0029910269192422734,0.8911240489954494,0.01782321681286571
3000,10000000023058.0,76948,9999900027.0,73,1000,0,4915.0,5307.0,0,1,151,999999806.0,90,5000,11,0,6,3000,9.999999999e-11,7.694207946086964e-05,9.999999999e-11,7.299467138898861e-05,0.009615759437727968,0.04757094853640347,0.09090909090909091,0.09090909090909091,0.9663791490034397,0.054190848967472005,0.0002999100269919024,9.999999999e-11,0.00089919072834449,2.8391188434369277e-05,0.0029910269192422734,0.8911214711028592,0.017823198982883887
3100,10000000023608.0,76392,9999900028.0,72,1000,0,4907.0,5351.0,0,1,161,999999798.0,86,5000,8,0,4,3100,9.999999999e-11,7.638616470810562e-05,9.999999999e-11,7.199481637322113e-05,0.009606627538139281,0.04757094853640347,0.09090909090909091,0.09090909090909091,0.9663610448922928,0.058096106659718164,0.0002999100269919024,9.999999999e-11,0.0008592610355094617,2.928814694260734e-05,0.0029910269192422734,0.8911190709336707,0.017823179531593028
3200,10000000024178.0,75822,9999900028.0,72,1000,0,5269.0,4907.0,0,2,168,999999778.0,94,5000,5,0,4,3200,9.999999999e-11,7.581625146018179e-05,9.999999999e-11,7.199481637322113e-05,0.009597505279117657,0.04757094853640347,0.09090909090909091,0.09090909090909091,0.9663424735303434,0.05176375962311847,0.0002999100269919024,9.999999999e-11,0.0009391172298039843,3.0180441069848667e-05,0.0029910269192422734,0.8911161364975763,0.0178231600798563
