Time,A,B,C
6190,98995,8995,1005
6200,99013,9013,987
6210,99004,9004,996
6220,99015,9015,985
6230,98991,8991,1009
6240,99001,9001,999
6250,99003,9003,997
6260,98980,8980,1020
6270,98990,8990,1010
6280,98990,8990,1010
6290,99009,9009,991
6300,99041,9041,959
6310,99039,9039,961
6320,99046,9046,954
6330,99032,9032,968
6340,99035,9035,965
6350,99067,9067,933
6360,99051,9051,949
6370,99080,9080,920
6380,99092,9092,908
6390,99088,9088,912
6400,99084,9084,916
6410,99090,9090,910
6420,99050,9050,950
6430,99054,9054,946
6440,99037,9037,963
6450,99040,9040,960
6460,99035,9035,965
6470,99061,9061,939
6480,99101,9101,899
6490,99104,9104,896
6500,99106,9106,894
6510,99098,9098,902
6520,99102,9102,898
6530,99084,9084,916
6540,99089,9089,911
6550,99082,9082,918
6560,99104,9104,896
6570,99084,9084,916
6580,99091,9091,909
6590,99098,9098,902
6600,99100,9100,900
6610,99105,9105,895
6620,99100,9100,900
6630,99106,9106,894
6640,99115,9115,885
6650,99119,9119,881
6660,99104,9104,896
6670,99108,9108,892
6680,99104,9104,896
6690,99098,9098,902
6700,99095,9095,905
6710,99109,9109,891
6720,99105,9105,895
6730,99108,9108,892
6740,99116,9116,884
6750,99121,9121,879
6760,99099,9099,901
6770,99081,9081,919
6780,99078,9078,922
6790,99089,9089,911
6800,99086,9086,914
6810,99087,9087,913
6820,99079,9079,921
6830,99093,9093,907
6840,99072,9072,928
6850,99087,9087,913
6860,99095,9095,905
6870,99090,9090,910
6880,99101,9101,899
6890,99095,9095,905
6900,99088,9088,912
6910,99100,9100,900
6920,99112,9112,888
6930,99110,9110,890
6940,99098,9098,902
6950,99091,9091,909
6960,99073,9073,927
6970,99071,9071,929
6980,99083,9083,917
6990,99109,9109,891
7000,99113,9113,887
7010,99114,9114,886
7020,99132,9132,868
7030,99114,9114,886
7040,99117,9117,883
7050,99112,9112,888
7060,99129,9129,871
7070,99122,9122,878
7080,99128,9128,872
7090,99116,9116,884
7100,99090,9090,910
7110,99132,9132,868
7120,99145,9145,855
7130,99143,9143,857
7140,99114,9114,886
7150,99113,9113,887
7160,99103,9103,897
7170,99106,9106,894
7180,99114,9114,886
7190,99116,9116,884
7200,99121,9121,879
7210,99114,9114,886
7220,99104,9104,896
7230,99089,9089,911
7240,99088,9088,912
7250,99073,9073,927
7260,99057,9057,943
7270,99080,9080,920
7280,99067,9067,933
7290,99074,9074,926
7300,99073,9073,927
7310,99083,9083,917
7320,99070,9070,930
7330,99059,9059,941
7340,99032,9032,968
7350,99024,9024,976
7360,99056,9056,944
7370,99051,9051,949
7380,99064,9064,936
7390,99051,9051,949
7400,99045,9045,955
7410,99054,9054,946
7420,99066,9066,934
7430,99069,9069,931
7440,99079,9079,921
7450,99096,9096,904
7460,99090,9090,910
7470,99089,9089,911
7480,99090,9090,910
7490,99089,9089,911
7500,99079,9079,921
7510,99084,9084,916
7520,99070,9070,930
7530,99080,9080,920
7540,99079,9079,921
