Time\ number,r2_1_100,r1_2_200,Time\ Probability,r2_1_100,r1_2_200
2610,9070,944.0,2610,0.0009897194849063033,0.009900990099009901
2620,9089,919.0,2620,0.0009899091089630196,0.009900990099009901
2630,9072,934.0,2630,0.0009897394453367162,0.009900990099009901
2640,9081,927.0,2640,0.0009898292672637025,0.009900990099009901
2650,9053,959.0,2650,0.0009895498212155913,0.009900990099009901
2660,9078,930.0,2660,0.0009897993266231682,0.009900990099009901
2670,9086,923.0,2670,0.0009898791683272713,0.009900990099009901
2680,9081,929.0,2680,0.0009898292672637025,0.009900990099009901
2690,9055,954.0,2690,0.0009895697816527838,0.009900990099009901
2700,9046,967.0,2700,0.0009894799596791364,0.009900990099009901
2710,9064,947.0,2710,0.0009896596036102795,0.009900990099009901
2720,9077,931.0,2720,0.000989789346409258,0.009900990099009901
2730,9097,917.0,2730,0.000989988950649575,0.009900990099009901
2740,9107,897.0,2740,0.0009900887527398224,0.009900990099009901
2750,9083,926.0,2750,0.000989849227689728,0.009900990099009901
2760,9100,910.0,2760,0.0009900188912787427,0.009900990099009901
2770,9113,903.0,2770,0.000990148633984399,0.009900990099009901
2780,9109,900.0,2780,0.0009901087131554786,0.009900990099009901
2790,9094,913.0,2790,0.0009899590100186121,0.009900990099009901
2800,9113,903.0,2800,0.000990148633984399,0.009900990099009901
2810,9105,899.0,2810,0.000990068792323368,0.009900990099009901
2820,9121,893.0,2820,0.0009902284756326681,0.009900990099009901
2830,9091,916.0,2830,0.0009899290693858548,0.009900990099009901
2840,9107,902.0,2840,0.0009900887527398224,0.009900990099009901
2850,9125,894.0,2850,0.000990268396452017,0.009900990099009901
2860,9116,891.0,2860,0.0009901785746039954,0.009900990099009901
2870,9124,885.0,2870,0.0009902584162474787,0.009900990099009901
2880,9080,930.0,2880,0.0009898192870503905,0.009900990099009901
2890,9077,935.0,2890,0.000989789346409258,0.009900990099009901
2900,9051,955.0,2900,0.0009895298607776012,0.009900990099009901
2910,9061,945.0,2910,0.0009896296629595758,0.009900990099009901
2920,9072,941.0,2920,0.0009897394453367162,0.009900990099009901
2930,9068,940.0,2930,0.0009896995244750933,0.009900990099009901
2940,9073,937.0,2940,0.0009897494255516233,0.009900990099009901
2950,9088,922.0,2950,0.0009898991287513028,0.009900990099009901
2960,9115,896.0,2960,0.0009901685943976626,0.009900990099009901
2970,9122,884.0,2970,0.0009902384558378046,0.009900990099009901
2980,9131,879.0,2980,0.0009903282776750578,0.009900990099009901
2990,9124,885.0,2990,0.0009902584162474787,0.009900990099009901
3000,9127,881.0,3000,0.000990288356860495,0.009900990099009901
3010,9128,890.0,3010,0.0009902983370644347,0.009900990099009901
3020,9134,876.0,3020,0.0009903582182838866,0.009900990099009901
3030,9151,854.0,3030,0.0009905278817000155,0.009900990099009901
3040,9139,873.0,3040,0.0009904081192946125,0.009900990099009901
3050,9132,880.0,3050,0.0009903382578782,0.009900990099009901
3060,9135,876.0,3060,0.0009903681984864304,0.009900990099009901
3070,9129,882.0,3070,0.0009903083172681753,0.009900990099009901
3080,9110,899.0,3080,0.000990118693363008,0.009900990099009901
3090,9124,885.0,3090,0.0009902584162474787,0.009900990099009901
3100,9086,923.0,3100,0.0009898791683272713,0.009900990099009901
3110,9092,915.0,3110,0.0009899390495969735,0.009900990099009901
3120,9093,922.0,3120,0.0009899490298078926,0.009900990099009901
3130,9101,911.0,3130,0.0009900288714880668,0.009900990099009901
3140,9102,904.0,3140,0.000990038851697191,0.009900990099009901
3150,9098,913.0,3150,0.0009899989308594969,0.009900990099009901
3160,9118,891.0,3160,0.000990198535016063,0.009900990099009901
3170,9115,894.0,3170,0.0009901685943976626,0.009900990099009901
3180,9122,885.0,3180,0.0009902384558378046,0.009900990099009901
3190,9123,884.0,3190,0.0009902484360427416,0.009900990099009901
3200,9126,879.0,3200,0.0009902783766563557,0.009900990099009901
3210,9131,881.0,3210,0.0009903282776750578,0.009900990099009901
3220,9110,898.0,3220,0.000990118693363008,0.009900990099009901
3230,9119,885.0,3230,0.0009902085152217975,0.009900990099009901
3240,9103,907.0,3240,0.000990048831906116,0.009900990099009901
3250,9089,920.0,3250,0.0009899091089630196,0.009900990099009901
3260,9078,928.0,3260,0.0009897993266231682,0.009900990099009901
3270,9066,942.0,3270,0.000989679564043085,0.009900990099009901
3280,9062,948.0,3280,0.0009896396431766763,0.009900990099009901
3290,9073,937.0,3290,0.0009897494255516233,0.009900990099009901
3300,9077,935.0,3300,0.000989789346409258,0.009900990099009901
3310,9061,951.0,3310,0.0009896296629595758,0.009900990099009901
3320,9062,944.0,3320,0.0009896396431766763,0.009900990099009901
3330,9055,954.0,3330,0.0009895697816527838,0.009900990099009901
3340,9072,934.0,3340,0.0009897394453367162,0.009900990099009901
3350,9082,927.0,3350,0.0009898392474768153,0.009900990099009901
3360,9073,940.0,3360,0.0009897494255516233,0.009900990099009901
