Time\ number,r1_2_200,r2_1_300,r1_2_400,r2_1_500,r1_2_600,r2_1_700,r1_2_800,r2_1_900,Time\ Probability,r1_2_200,r2_1_300,r1_2_400,r2_1_500,r1_2_600,r2_1_700,r1_2_800,r2_1_900
360,200000031735396.0,4011,15556625985727.0,4969430206109,4443353691126.0,31432592,14018865.0,456,360,9.9999999999e-12,0.9576063647796703,0.03381642512077295,0.1105074074515496,2.4999937500156254e-06,0.5540430510716784,7.999936000511995e-06,0.25460391334804894
370,200000031737320.0,2079,15909472497488.0,4556480273584,4090519338865.0,17465285,18387305.0,491,370,9.9999999999e-12,0.9539411375593586,0.03381642512077295,0.10226334987872532,2.4999937500156254e-06,0.532519460131171,7.999936000511995e-06,0.24017218021163222
380,200000031737395.0,82,15375138972872.0,5144782997411,4624850111110.0,22479682,10426851.0,435,380,9.9999999999e-12,0.9589919769560951,0.03381642512077295,0.11396225951139786,2.4999937500156254e-06,0.5362256201605293,7.999936000511995e-06,0.26049027606109354
390,200000031737310.0,2087,15788469053287.0,4707121756334,4211517138797.0,24336513,11130555.0,476,390,9.9999999999e-12,0.9556939786165477,0.03381642512077295,0.10528851516061424,2.4999937500156254e-06,0.5426200911816165,7.999936000511995e-06,0.2683078656689852
400,200000031737299.0,2135,15507989323819.0,5016423367790,5016420488745.0,27723176,15183302.0,655,400,9.9999999999e-12,0.9533109523565942,0.03381642512077295,0.11143589073066618,2.4999937500156254e-06,0.5563670783318518,7.999936000511995e-06,0.27934919746515025
410,200000031737303.0,2091,15969969220802.0,4481530423857,4481541615529.0,16319396,16319500.0,354,410,9.9999999999e-12,0.9532069909164984,0.03381642512077295,0.10075112869133371,2.4999937500156254e-06,0.5283889587079998,7.999936000511995e-06,0.23746367148746447
420,200000031735374.0,4021,15272401655561.0,5244033389618,4727587894373.0,22266346,22266394.0,487,420,9.9999999999e-12,0.9546975480312633,0.03381642512077295,0.11590639411311958,2.4999937500156254e-06,0.5368366137368554,7.999936000511995e-06,0.26376206336294306
430,200000031737390.0,185,15910009586494.0,4555805871031,4555817261775.0,11718643,16872332.0,421,430,9.9999999999e-12,0.9489560027703011,0.03381642512077295,0.10225011257800055,2.4999937500156254e-06,0.5324827733363529,7.999936000511995e-06,0.2603778714245891
440,200000031737395.0,96,15335251519105.0,5183314472249,4588694948450.0,29567496,29567758.0,359,440,9.9999999999e-12,0.9592845229026367,0.03381642512077295,0.11471815576312461,2.4999937500156254e-06,0.5342740863638443,7.999936000511995e-06,0.26176633154059886
450,200000031737219.0,2178,15500589518900.0,5023566699188,5023579251392.0,13116927,18724342.0,446,450,9.9999999999e-12,0.9530224567846295,0.03381642512077295,0.11157712150573477,2.4999937500156254e-06,0.5293798510732471,7.999936000511995e-06,0.2796362648061902
460,200000031737318.0,2002,15408264579518.0,5112757101831,5112769878118.0,30643053,30643324.0,393,460,9.9999999999e-12,0.9537170288072292,0.03381642512077295,0.11333404946996986,2.4999937500156254e-06,0.5312519110673185,7.999936000511995e-06,0.28319545188709067
470,200000031735306.0,4079,15910896327417.0,4554710196306,4089091477343.0,22419177,12194808.0,529,470,9.9999999999e-12,0.9489455645843201,0.03381642512077295,0.10222784696835813,2.4999937500156254e-06,0.5055090062734042,7.999936000511995e-06,0.2401088342737031
480,200000031735433.0,3923,15944452044024.0,4513109707452,4055531394270.0,26706083,16561288.0,523,480,9.9999999999e-12,0.9485447667179644,0.03381642512077295,0.10138899538403111,2.4999937500156254e-06,0.5034494538916798,7.999936000511995e-06,0.23860836167745142
490,200000031737301.0,2056,15894842888624.0,4574628027034,4642653458302.0,19319780,8945361.0,388,490,9.9999999999e-12,0.9541156841218341,0.03381642512077295,0.10262929622425745,2.4999937500156254e-06,0.5371806892144932,7.999936000511995e-06,0.2408243251202075
500,200000031737309.0,2127,15355415262017.0,5163838582562,4644571250976.0,25094523,13486465.0,648,500,9.9999999999e-12,0.9547752990680443,0.03381642512077295,0.1143361439307557,2.4999937500156254e-06,0.5372839171622109,7.999936000511995e-06,0.26112168535660135
510,200000031737304.0,2079,15474794248901.0,5048494388703,4525190187029.0,26877320,15563618.0,570,510,9.9999999999e-12,0.9536375681405238,0.03381642512077295,0.11206849090845206,2.4999937500156254e-06,0.5308045922305966,7.999936000511995e-06,0.2590814191982721
520,200000031737297.0,2005,15971272501139.0,4479927966691,4479927369608.0,22321065,10527035.0,526,520,9.9999999999e-12,0.948219918830179,0.03381642512077295,0.10071839384687442,2.4999937500156254e-06,0.5282997072994705,7.999936000511995e-06,0.26092678083727
530,200000031737227.0,2213,15824962903904.0,4661582040427,4710167611266.0,24889032,13114334.0,695,530,9.9999999999e-12,0.9553771146630397,0.03381642512077295,0.10437618463829346,2.4999937500156254e-06,0.5407685907557933,7.999936000511995e-06,0.2668457893113631
540,200000031737390.0,107,15791175766663.0,4703742774580,4208817916700.0,12966730,16842365.0,347,540,9.9999999999e-12,0.9553187785612898,0.03381642512077295,0.10522085373911211,2.4999937500156254e-06,0.5127202669199035,7.999936000511995e-06,0.24541305221991722
550,200000031737305.0,1969,15908783746522.0,4557328470342,4629180415888.0,25753229,14181698.0,608,550,9.9999999999e-12,0.9546317739948332,0.03381642512077295,0.10228068181618591,2.4999937500156254e-06,0.5364587024333933,7.999936000511995e-06,0.26346654988503715
560,200000031737394.0,188,15290661959674.0,5226407479301,4622438085206.0,14122231,6485812.0,647,560,9.9999999999e-12,0.9545684618500522,0.03381642512077295,0.11556122284664189,2.4999937500156254e-06,0.5407235894632854,7.999936000511995e-06,0.2876781378814053
570,200000031737213.0,2182,15922896742673.0,4539818080363,4539829427353.0,18218537,19879908.0,345,570,9.9999999999e-12,0.95450388551809,0.03381642512077295,0.10192798232727907,2.4999937500156254e-06,0.5316080369829221,7.999936000511995e-06,0.25970190102614504
580,200000031737291.0,2070,15818343694133.0,4669827635030,4716565825817.0,21251664,21251658.0,686,580,9.9999999999e-12,0.9500190559232691,0.03381642512077295,0.10454183383749556,2.4999937500156254e-06,0.5411053103734682,7.999936000511995e-06,0.26711164283266986
590,200000031737278.0,2061,15484145116563.0,5039458210769,4515849925312.0,10550721,4957761.0,409,590,9.9999999999e-12,0.9535460333413331,0.03381642512077295,0.1118904907496939,2.4999937500156254e-06,0.5302884915670968,7.999936000511995e-06,0.25868470088173684
600,200000031737307.0,2032,15953846858599.0,4501485803332,4046142904891.0,20354940,9481377.0,413,600,9.9999999999e-12,0.954220794442091,0.03381642512077295,0.10115402046961512,2.4999937500156254e-06,0.5341077044370454,7.999936000511995e-06,0.26163713837416386
610,200000031737313.0,1960,15787962052530.0,4707756201838,4212031643753.0,12943181,12943293.0,576,610,9.9999999999e-12,0.9553551687356145,0.03381642512077295,0.10530117733275865,2.4999937500156254e-06,0.5129109582174787,7.999936000511995e-06,0.2455545967591163
620,200000031737212.0,2186,16016986561130.0,4423463146707,3982994445844.0,28949868,28950090.0,444,620,9.9999999999e-12,0.9476569638180457,0.03381642512077295,0.09957569800967506,2.4999937500156254e-06,0.530774130295313,7.999936000511995e-06,0.23534526519550397
630,200000031737280.0,2136,15978752774977.0,4470669533084,4561580747864.0,20404129,9536721.0,534,630,9.9999999999e-12,0.9539903990164285,0.03381642512077295,0.10053157033083077,2.4999937500156254e-06,0.5327981912730354,7.999936000511995e-06,0.2567619691197283
640,200000031737397.0,91,15844713744636.0,4636968844343,4155267878587.0,28765131,18376356.0,560,640,9.9999999999e-12,0.9547046023434552,0.03381642512077295,0.1038825417675414,2.4999937500156254e-06,0.5397604706518889,7.999936000511995e-06,0.26605232228190956
650,200000031737299.0,2079,15912056293635.0,4553267684007,4087928481214.0,25443114,12585782.0,437,650,9.9999999999e-12,0.9489317323181019,0.03381642512077295,0.10219890170061449,2.4999937500156254e-06,0.5054382718698625,7.999936000511995e-06,0.2602706419600365
660,200000031737395.0,193,15273684481929.0,5242803267439,4726295292374.0,32040940,14693295.0,536,660,9.9999999999e-12,0.9555225812760798,0.03381642512077295,0.11588206019215154,2.4999937500156254e-06,0.5416180741861849,7.999936000511995e-06,0.2675154053857024
670,200000031737312.0,2044,15753984743576.0,4750244849721,4750243729126.0,23950165,10947304.0,540,670,9.9999999999e-12,0.9557367920942446,0.03381642512077295,0.10615057945241643,2.4999937500156254e-06,0.5428717578252732,7.999936000511995e-06,0.26968310046777055
680,200000031737223.0,2212,16022762316519.0,4416340353862,3977227920578.0,19469591,19702913.0,266,680,9.9999999999e-12,0.9475848203695959,0.03381642512077295,0.09943132160287767,2.4999937500156254e-06,0.49857451967633887,7.999936000511995e-06,0.23508425319182608
690,200000031737329.0,1974,15219672904956.0,5294983500554,5294996742386.0,10893897,17929237.0,405,690,9.9999999999e-12,0.956002974126134,0.03381642512077295,0.11690069761689398,2.4999937500156254e-06,0.569661678830939,7.999936000511995e-06,0.2903576716704866
700,200000031737228.0,2210,15905392859477.0,4561535221877,4094592365967.0,25008384,14774286.0,376,700,9.9999999999e-12,0.9546623658327891,0.03381642512077295,0.1023654531642995,2.4999937500156254e-06,0.5366345010481205,7.999936000511995e-06,0.26062001994055195
710,200000031735354.0,4000,15768958052316.0,4731494815521,4731506645648.0,28695949,28696193.0,656,710,9.9999999999e-12,0.9558615839815592,0.03381642512077295,0.10577661577336155,2.4999937500156254e-06,0.5436040793186946,7.999936000511995e-06,0.2690864261039478
720,200000031735391.0,4096,15349573397875.0,5169474737499,5169487655488.0,13194251,18672120.0,547,720,9.9999999999e-12,0.9541464321231229,0.03381642512077295,0.11444693219289598,2.4999937500156254e-06,0.5637715123311419,7.999936000511995e-06,0.285439842371493
730,200000031737328.0,2010,15402385213237.0,5118458134439,4597603463532.0,22818245,22818250.0,623,730,9.9999999999e-12,0.9543344647530113,0.03381642512077295,0.11344527480951269,2.4999937500156254e-06,0.5613309245144696,7.999936000511995e-06,0.2834211084462063
740,200000031737218.0,2291,15696901109426.0,4821811284311,4833904325667.0,15028788,15028913.0,494,740,9.9999999999e-12,0.951360853758854,0.03381642512077295,0.10757761259244299,2.4999937500156254e-06,0.5465794987785375,7.999936000511995e-06,0.24953811714942475
750,200000031737385.0,165,15956332412468.0,4498398080936,4583245196737.0,20535015,21667720.0,363,750,9.9999999999e-12,0.9484014792729392,0.03381642512077295,0.1010920660957548,2.4999937500156254e-06,0.5027156773365359,7.999936000511995e-06,0.2579437098475636
760,200000031737306.0,2097,15424496312608.0,5097071664549,4575483742495.0,31383247,14732628.0,306,760,9.9999999999e-12,0.9541238836967738,0.03381642512077295,0.11302568325069551,2.4999937500156254e-06,0.5305733975978582,7.999936000511995e-06,0.2612092235245242
770,200000031737399.0,85,15342952274894.0,5175880452713,5175879649242.0,24365899,11421090.0,445,770,9.9999999999e-12,0.9592284196152666,0.03381642512077295,0.11457218329794223,2.4999937500156254e-06,0.5640761919199441,7.999936000511995e-06,0.285692398299781
780,200000031735322.0,4100,15865041102302.0,4611681826754,4671450815934.0,13822406,6421189.0,446,780,9.9999999999e-12,0.9544673215450389,0.03381642512077295,0.10337411982476892,2.4999937500156254e-06,0.5355157475505982,7.999936000511995e-06,0.24214868736781844
790,200000031735349.0,4091,15205425865338.0,5308747409981,5308760679430.0,14782128,14782243.0,368,790,9.9999999999e-12,0.9602081719751869,0.03381642512077295,0.1171690316403115,2.4999937500156254e-06,0.5702982326617271,7.999936000511995e-06,0.2908928193567027
800,200000031737291.0,2078,15924733277181.0,4537545822925,4075250948117.0,25959582,15774318.0,536,800,9.9999999999e-12,0.9487811387676361,0.03381642512077295,0.10188199812950184,2.4999937500156254e-06,0.5356294607679113,7.999936000511995e-06,0.23949063122630337
810,200000031737320.0,1997,15368699052136.0,5150995419192,5151008291610.0,18013972,21220611.0,742,810,9.9999999999e-12,0.9590394756416026,0.03381642512077295,0.11408459490610737,2.4999937500156254e-06,0.5365714074234544,7.999936000511995e-06,0.26069701764637065
820,200000031735299.0,4229,15869135833605.0,4606573718580,4606585242182.0,16409487,16409613.0,572,820,9.9999999999e-12,0.9549874065404743,0.03381642512077295,0.10327195484106357,2.4999937500156254e-06,0.5352408981901012,7.999936000511995e-06,0.26251809590299513
830,200000031737287.0,1965,15824159063175.0,4662592120370,4710953085967.0,11244919,5187845.0,528,830,9.9999999999e-12,0.954942062141463,0.03381642512077295,0.1043961219610222,2.4999937500156254e-06,0.5382453248458754,7.999936000511995e-06,0.26687775424022736
840,200000031737285.0,1992,15904259185848.0,4562948032484,4562947446297.0,22501764,11095356.0,463,840,9.9999999999e-12,0.9490239396620752,0.03381642512077295,0.10239373970820029,2.4999937500156254e-06,0.5328729588241108,7.999936000511995e-06,0.26067933722480663
850,200000031735278.0,4114,15914172236863.0,4550650891582,4085821243448.0,13938264,16727874.0,516,850,9.9999999999e-12,0.953884825471733,0.03381642512077295,0.10214581624463179,2.4999937500156254e-06,0.5322004747837453,7.999936000511995e-06,0.26015924167606025
860,200000031737390.0,200,15841606024617.0,4640841025268,4158380205503.0,24163329,24163514.0,347,860,9.9999999999e-12,0.954740598921342,0.03381642512077295,0.10396008667679864,2.4999937500156254e-06,0.5399191578675989,7.999936000511995e-06,0.2661777257937241
870,200000031737298.0,2095,15836384936989.0,4647349123199,4647348270786.0,23200420,11580049.0,497,870,9.9999999999e-12,0.9498132344404463,0.03381642512077295,0.1040905773263373,2.4999937500156254e-06,0.5374323103632846,7.999936000511995e-06,0.2642271242600582
880,200000031735312.0,4083,15477894411025.0,5045499754686,4522087150597.0,29746532,13151036.0,477,880,9.9999999999e-12,0.9531952983799346,0.03381642512077295,0.11200948247267169,2.4999937500156254e-06,0.5577932522679431,7.999936000511995e-06,0.2589501354447237
890,200000031737394.0,196,15163675656132.0,5349088280829,5349101651116.0,12940178,5537258.0,362,890,9.9999999999e-12,0.9604964527819996,0.03381642512077295,0.11795433691786354,2.4999937500156254e-06,0.5721522512645154,7.999936000511995e-06,0.27204801252839095
900,200000031737299.0,2029,15917292116263.0,4546784130516,4620968459158.0,10462711,4898731.0,476,900,9.9999999999e-12,0.9545546399539652,0.03381642512077295,0.10206781521358803,2.4999937500156254e-06,0.531988552885866,7.999936000511995e-06,0.2631218573729882
910,200000031735433.0,3941,15482618130043.0,5040929784126,4476760131211.0,18822098,18822112.0,428,910,9.9999999999e-12,0.9531594892862468,0.03381642512077295,0.1119196082769849,2.4999937500156254e-06,0.5281231433433379,7.999936000511995e-06,0.2570213005090072
920,200000031737325.0,2118,15970602706167.0,4480755072615,4569456367418.0,22935447,11508840.0,533,920,9.9999999999e-12,0.9540660983635698,0.03381642512077295,0.10073515540344613,2.4999937500156254e-06,0.5332278093118986,7.999936000511995e-06,0.2609541772996896
930,200000031735477.0,3936,15377322363813.0,5142671029130,4622659715382.0,29477607,12891385.0,297,930,9.9999999999e-12,0.9539444397434874,0.03381642512077295,0.11392090365544,2.4999937500156254e-06,0.5624931216126037,7.999936000511995e-06,0.26042033541031406
940,200000031737206.0,2229,15925019886922.0,4537184253513,4074958429098.0,31870884,31870981.0,564,940,9.9999999999e-12,0.9487776698905733,0.03381642512077295,0.10187494521041679,2.4999937500156254e-06,0.5046446980538388,7.999936000511995e-06,0.23947854101837734
950,200000031737394.0,95,15362866662603.0,5156635354524,4567781506990.0,14433524,18158292.0,433,950,9.9999999999e-12,0.9540499024868038,0.03381642512077295,0.11419497679244868,2.4999937500156254e-06,0.5331358401166902,7.999936000511995e-06,0.2608835953981923
960,200000031737312.0,2047,15773430540805.0,4725907882436,4725919698039.0,19417482,19417451.0,615,960,9.9999999999e-12,0.955519049758366,0.03381642512077295,0.10566459492688941,2.4999937500156254e-06,0.5415970859751638,7.999936000511995e-06,0.2674995595725087
970,200000031737316.0,2080,15248486815557.0,5267150063367,4751498353641.0,26704354,12204871.0,429,970,9.9999999999e-12,0.9557479882633673,0.03381642512077295,0.11635748277643135,2.4999937500156254e-06,0.542937580071266,7.999936000511995e-06,0.2685586038824554
980,200000031737307.0,2080,15866662568955.0,4609665439091,4133332499625.0,10616932,10617007.0,447,980,9.9999999999e-12,0.9544483371799235,0.03381642512077295,0.10333353182187834,2.4999937500156254e-06,0.5354067118844208,7.999936000511995e-06,0.2626470530358085
990,200000031737312.0,2017,15450047430766.0,5072400289501,5072412977800.0,10935735,10935828.0,494,990,9.9999999999e-12,0.953878053860053,0.03381642512077295,0.11253964421057516,2.4999937500156254e-06,0.5321617459239971,7.999936000511995e-06,0.25807775050940124
1000,200000031737395.0,208,15871956332963.0,4603066983649,4664765231236.0,20377420,20377579.0,702,1000,9.9999999999e-12,0.9494027692165902,0.03381642512077295,0.10320150262645215,2.4999937500156254e-06,0.5078778935022746,7.999936000511995e-06,0.26495535576235074
