Time,x,y
60900,5334,0
61000,5386,0
61100,5430,0
61200,5487,0
61300,5546,0
61400,5602,0
61500,5659,0
61600,5717,0
61700,5770,0
61800,5828,0
61900,5889,0
62000,5950,0
62100,6020,0
62200,6079,0
62300,6157,0
62400,6213,0
62500,6289,0
62600,6359,0
62700,6425,0
62800,6493,0
62900,6563,0
63000,6628,0
63100,6685,0
63200,6752,0
63300,6808,0
63400,6868,0
63500,6938,0
63600,7011,0
63700,7073,0
63800,7154,0
63900,7231,0
64000,7300,0
64100,7366,0
64200,7454,0
64300,7535,0
64400,7607,0
64500,7691,0
64600,7757,0
64700,7834,0
64800,7909,0
64900,7981,0
65000,8062,0
65100,8139,0
65200,8230,0
65300,8321,0
65400,8403,0
65500,8489,0
65600,8570,0
65700,8653,0
65800,8763,0
65900,8844,0
66000,8939,0
66100,9033,0
66200,9119,0
66300,9196,0
66400,9298,0
66500,9401,0
66600,9499,0
66700,9586,0
66800,9681,0
66900,9787,0
67000,9880,0
67100,9984,0
67200,10080,0
67300,10205,0
67400,10306,0
67500,10428,0
67600,10523,0
67700,10619,0
67800,10730,0
67900,10855,0
68000,10966,0
68100,11091,0
68200,11197,0
68300,11320,0
68400,11418,0
68500,11510,0
68600,11627,0
68700,11746,0
68800,11867,0
68900,11990,0
69000,12121,0
69100,12235,0
69200,12384,0
69300,12523,0
69400,12636,0
69500,12781,0
69600,12892,0
69700,13020,0
69800,13164,0
69900,13276,0
70000,13420,0
70100,13559,0
70200,13701,0
70300,13850,0
70400,13995,0
70500,14144,0
70600,14268,0
70700,14421,0
70800,14574,0
70900,14718,0
71000,14875,0
71100,15020,0
71200,15183,0
71300,15342,0
71400,15479,0
71500,15617,0
71600,15763,0
71700,15912,0
71800,16068,0
71900,16226,0
72000,16386,0
72100,16548,0
72200,16721,0
72300,16901,0
72400,17063,0
72500,17242,0
72600,17422,0
72700,17586,0
72800,17760,0
72900,17953,0
73000,18130,0
73100,18330,0
73200,18518,0
73300,18689,0
73400,18875,0
73500,19070,0
73600,19251,0
73700,19434,0
73800,19634,0
73900,19836,0
74000,20037,0
74100,20245,0
74200,20426,0
74300,20632,0
74400,20809,0
74500,21020,0
74600,21232,0
74700,21438,0
74800,21636,0
74900,21857,0
75000,22075,0
75100,22302,0
75200,22518,0
75300,22760,0
75400,22982,0
75500,23219,0
75600,23440,0
75700,23658,0
75800,23880,0
75900,24119,0
76000,24353,0
76100,24577,0
76200,24856,0
76300,25107,0
76400,25372,0
76500,25607,0
76600,25889,0
76700,26142,0
76800,26395,0
76900,26655,0
77000,26931,0
77100,27191,0
77200,27489,0
77300,27791,0
77400,28068,0
77500,28310,0
77600,28604,0
77700,28901,0
77800,29194,0
77900,29478,0
78000,29791,0
78100,30106,0
78200,30400,0
78300,30707,0
78400,31010,0
78500,31322,0
78600,31613,0
78700,31933,0
78800,32258,0
78900,32570,0
79000,32887,0
79100,33221,0
79200,33542,0
79300,33904,0
79400,34248,0
79500,34562,0
79600,34893,0
79700,35260,0
79800,35595,0
79900,35977,0
80000,36329,0
80100,36710,0
80200,37066,0
80300,37447,0
80400,37806,0
80500,38210,0
80600,38602,0
80700,38990,0
80800,39369,0
80900,39765,0
81000,40156,0
81100,40554,0
81200,40950,0
81300,41341,0
81400,41735,0
81500,42169,0
81600,42562,0
81700,43006,0
81800,43423,0
81900,43846,0
82000,44269,0
82100,44737,0
82200,45211,0
82300,45695,0
82400,46152,0
82500,46606,0
82600,47094,0
82700,47601,0
82800,48063,0
82900,48559,0
83000,49051,0
83100,49546,0
83200,50040,0
83300,50550,0
83400,51080,0
83500,51602,0
83600,52160,0
83700,52717,0
83800,53224,0
83900,53703,0
84000,54273,0
84100,54830,0
84200,55388,0
84300,56022,0
84400,56624,0
84500,57184,0
84600,57777,0
84700,58394,0
84800,59001,0
84900,59595,0
85000,60156,0
85100,60740,0
85200,61348,0
85300,61955,0
85400,62581,0
85500,63187,0
85600,63817,0
85700,64466,0
85800,65113,0
85900,65775,0
86000,66430,0
86100,67077,0
86200,67735,0
86300,68401,0
86400,69069,0
86500,69722,0
86600,70454,0
86700,71154,0
86800,71853,0
86900,72581,0
87000,73307,0
87100,74013,0
87200,74732,0
87300,75454,0
87400,76214,0
87500,76958,0
87600,77707,0
87700,78509,0
87800,79272,0
87900,80093,0
88000,80890,0
88100,81686,0
88200,82526,0
88300,83349,0
88400,84212,0
88500,85117,0
88600,85901,0
88700,86772,0
88800,87664,0
88900,88532,0
89000,89464,0
89100,90357,0
89200,91251,0
89300,92184,0
89400,93092,0
89500,94010,0
89600,94894,0
89700,95858,0
89800,96794,0
89900,97744,0
90000,98741,0
90100,99738,0
90200,100774,0
90300,101807,0
90400,102876,0
90500,103867,0
90600,104949,0
90700,105994,0
90800,107113,0
90900,108194,0
91000,109247,0
91100,110300,0
91200,111472,0
91300,112562,0
91400,113693,0
91500,114884,0
91600,116031,0
91700,117158,0
91800,118358,0
91900,119524,0
92000,120724,0
92100,121905,0
92200,123167,0
92300,124408,0
92400,125688,0
92500,126957,0
92600,128233,0
92700,129485,0
92800,130831,0
92900,132190,0
93000,133523,0
93100,134833,0
93200,136164,0
93300,137598,0
93400,139019,0
93500,140446,0
93600,141781,0
93700,143241,0
93800,144685,0
93900,146094,0
94000,147585,0
94100,149054,0
94200,150504,0
94300,151999,0
94400,153475,0
94500,155052,0
94600,156636,0
94700,158195,0
94800,159819,0
94900,161456,0
95000,163108,0
95100,164721,0
95200,166426,0
95300,168093,0
95400,169806,0
95500,171425,0
95600,173134,0
95700,174896,0
95800,176631,0
95900,178343,0
96000,180123,0
96100,181974,0
96200,183779,0
96300,185659,0
96400,187464,0
96500,189350,0
96600,191287,0
96700,193182,0
96800,195104,0
96900,197090,0
97000,199097,0
97100,201094,0
97200,203125,0
97300,205194,0
97400,207226,0
97500,209352,0
97600,211498,0
97700,213606,0
97800,215770,0
97900,217865,0
98000,220146,0
98100,222373,0
98200,224620,0
98300,226923,0
98400,229226,0
98500,231565,0
98600,233922,0
98700,236244,0
98800,238727,0
98900,241152,0
99000,243573,0
99100,246018,0
99200,248511,0
99300,250980,0
99400,253507,0
99500,256069,0
99600,258564,0
99700,261206,0
99800,263749,0
99900,266312,0
100000,269035,0
