Time\ number,r2_2_100:=Cell_1,r1_1_200:=Cell_1,Time\ Probability,r2_2_100:=Cell_1,r1_1_200:=Cell_1
16400,23,200.0,16400,0.4736842105263158,0.999000999000999
16500,22,201.0,16500,0.4736842105263158,0.999000999000999
16600,29,200.0,16600,0.4736842105263158,0.999000999000999
16700,20,201.0,16700,0.4736842105263158,0.999000999000999
16800,17,200.0,16800,0.4736842105263158,0.999000999000999
16900,17,201.0,16900,0.4736842105263158,0.999000999000999
17000,20,200.0,17000,0.4736842105263158,0.999000999000999
17100,18,200.0,17100,0.4736842105263158,0.999000999000999
17200,24,200.0,17200,0.4736842105263158,0.999000999000999
17300,25,200.0,17300,0.4736842105263158,0.999000999000999
17400,24,201.0,17400,0.4736842105263158,0.999000999000999
17500,25,200.0,17500,0.4736842105263158,0.999000999000999
17600,24,201.0,17600,0.4736842105263158,0.999000999000999
17700,21,200.0,17700,0.4736842105263158,0.999000999000999
17800,19,200.0,17800,0.4736842105263158,0.999000999000999
17900,15,200.0,17900,0.4736842105263158,0.999000999000999
18000,18,200.0,18000,0.4736842105263158,0.999000999000999
18100,21,200.0,18100,0.4736842105263158,0.999000999000999
18200,22,200.0,18200,0.4736842105263158,0.999000999000999
18300,22,201.0,18300,0.4736842105263158,0.999000999000999
18400,20,200.0,18400,0.4736842105263158,0.999000999000999
18500,22,200.0,18500,0.4736842105263158,0.999000999000999
18600,22,200.0,18600,0.4736842105263158,0.999000999000999
18700,24,200.0,18700,0.4736842105263158,0.999000999000999
18800,20,200.0,18800,0.4736842105263158,0.999000999000999
18900,20,202.0,18900,0.4736842105263158,0.999000999000999
19000,20,200.0,19000,0.4736842105263158,0.999000999000999
19100,20,201.0,19100,0.4736842105263158,0.999000999000999
19200,24,200.0,19200,0.4736842105263158,0.999000999000999
19300,22,200.0,19300,0.4736842105263158,0.999000999000999
19400,21,200.0,19400,0.4736842105263158,0.999000999000999
19500,23,200.0,19500,0.4736842105263158,0.999000999000999
19600,22,200.0,19600,0.4736842105263158,0.999000999000999
19700,20,200.0,19700,0.4736842105263158,0.999000999000999
19800,29,200.0,19800,0.4736842105263158,0.999000999000999
19900,27,200.0,19900,0.4736842105263158,0.999000999000999
20000,21,200.0,20000,0.4736842105263158,0.999000999000999
20100,21,200.0,20100,0.4736842105263158,0.999000999000999
20200,18,200.0,20200,0.4736842105263158,0.999000999000999
20300,18,201.0,20300,0.4736842105263158,0.999000999000999
20400,18,201.0,20400,0.4736842105263158,0.999000999000999
20500,21,201.0,20500,0.4736842105263158,0.999000999000999
20600,19,200.0,20600,0.4736842105263158,0.999000999000999
20700,17,200.0,20700,0.4736842105263158,0.999000999000999
20800,25,200.0,20800,0.4736842105263158,0.999000999000999
20900,23,201.0,20900,0.4736842105263158,0.999000999000999
21000,20,200.0,21000,0.4736842105263158,0.999000999000999
21100,20,200.0,21100,0.4736842105263158,0.999000999000999
21200,19,201.0,21200,0.4736842105263158,0.999000999000999
21300,26,200.0,21300,0.4736842105263158,0.999000999000999
21400,22,200.0,21400,0.4736842105263158,0.999000999000999
21500,22,202.0,21500,0.4736842105263158,0.999000999000999
21600,25,200.0,21600,0.4736842105263158,0.999000999000999
21700,21,200.0,21700,0.4736842105263158,0.999000999000999
21800,23,202.0,21800,0.4736842105263158,0.999000999000999
21900,29,200.0,21900,0.4736842105263158,0.999000999000999
22000,24,200.0,22000,0.4736842105263158,0.999000999000999
22100,26,200.0,22100,0.4736842105263158,0.999000999000999
22200,22,200.0,22200,0.4736842105263158,0.999000999000999
22300,22,201.0,22300,0.4736842105263158,0.999000999000999
22400,17,200.0,22400,0.4736842105263158,0.999000999000999
22500,27,200.0,22500,0.4736842105263158,0.999000999000999
22600,22,200.0,22600,0.4736842105263158,0.999000999000999
22700,23,201.0,22700,0.4736842105263158,0.999000999000999
22800,21,200.0,22800,0.4736842105263158,0.999000999000999
22900,22,200.0,22900,0.4736842105263158,0.999000999000999
23000,20,201.0,23000,0.4736842105263158,0.999000999000999
23100,17,200.0,23100,0.4736842105263158,0.999000999000999
23200,21,200.0,23200,0.4736842105263158,0.999000999000999
23300,16,200.0,23300,0.4736842105263158,0.999000999000999
23400,19,200.0,23400,0.4736842105263158,0.999000999000999
23500,21,200.0,23500,0.4736842105263158,0.999000999000999
23600,21,201.0,23600,0.4736842105263158,0.999000999000999
23700,19,200.0,23700,0.4736842105263158,0.999000999000999
23800,23,201.0,23800,0.4736842105263158,0.999000999000999
23900,20,200.0,23900,0.4736842105263158,0.999000999000999
24000,26,200.0,24000,0.4736842105263158,0.999000999000999
24100,20,200.0,24100,0.4736842105263158,0.999000999000999
24200,22,201.0,24200,0.4736842105263158,0.999000999000999
24300,24,200.0,24300,0.4736842105263158,0.999000999000999
24400,23,200.0,24400,0.4736842105263158,0.999000999000999
24500,25,200.0,24500,0.4736842105263158,0.999000999000999
24600,21,200.0,24600,0.4736842105263158,0.999000999000999
24700,23,200.0,24700,0.4736842105263158,0.999000999000999
24800,20,200.0,24800,0.4736842105263158,0.999000999000999
24900,24,200.0,24900,0.4736842105263158,0.999000999000999
25000,25,200.0,25000,0.4736842105263158,0.999000999000999
25100,24,200.0,25100,0.4736842105263158,0.999000999000999
25200,25,200.0,25200,0.4736842105263158,0.999000999000999
25300,22,200.0,25300,0.4736842105263158,0.999000999000999
25400,21,200.0,25400,0.4736842105263158,0.999000999000999
25500,22,200.0,25500,0.4736842105263158,0.999000999000999
25600,22,200.0,25600,0.4736842105263158,0.999000999000999
25700,21,200.0,25700,0.4736842105263158,0.999000999000999
25800,19,200.0,25800,0.4736842105263158,0.999000999000999
25900,21,200.0,25900,0.4736842105263158,0.999000999000999
26000,25,200.0,26000,0.4736842105263158,0.999000999000999
26100,27,200.0,26100,0.4736842105263158,0.999000999000999
26200,18,200.0,26200,0.4736842105263158,0.999000999000999
26300,21,200.0,26300,0.4736842105263158,0.999000999000999
26400,17,201.0,26400,0.4736842105263158,0.999000999000999
26500,22,200.0,26500,0.4736842105263158,0.999000999000999
