Time,S,E,I,R
662,1124114,4682175,1935749,2257982
663,1128768,4676525,1934842,2259885
664,1130167,4674191,1932588,2263074
665,1132211,4671389,1930725,2265695
666,1133885,4668721,1930559,2266855
667,1137991,4663123,1930129,2268777
668,1137210,4661822,1928223,2272765
669,1141511,4656777,1927315,2274417
670,1142993,4653938,1924898,2278191
671,1145601,4650358,1924628,2279433
672,1148664,4646075,1924436,2280845
673,1150284,4644254,1923390,2282092
674,1149833,4643454,1921556,2285177
675,1149443,4642645,1919698,2288234
676,1150306,4641077,1917732,2290905
677,1151991,4639505,1915656,2292868
678,1154797,4636396,1914374,2294453
679,1155488,4634114,1912782,2297636
680,1156742,4632057,1911037,2300184
681,1160025,4628924,1908958,2302113
682,1161374,4626565,1906923,2305158
683,1164414,4624033,1904801,2306772
684,1167822,4620585,1903420,2308193
685,1169539,4619556,1901137,2309788
686,1172147,4616099,1899969,2311805
687,1173887,4613288,1899842,2313003
688,1174863,4612128,1898245,2314784
689,1178522,4608934,1896407,2316157
690,1182076,4606288,1895068,2316588
691,1182492,4605291,1893421,2318816
692,1184361,4604773,1892621,2318265
693,1184642,4604208,1890749,2320421
694,1186905,4601187,1890871,2321057
695,1186143,4602035,1888957,2322885
696,1188994,4598999,1888171,2323856
697,1192128,4596021,1887974,2323897
698,1193375,4595323,1886240,2325082
699,1196370,4593064,1886647,2323939
700,1200553,4589116,1886819,2323532
701,1203529,4587554,1885789,2323148
702,1205247,4585889,1885976,2322908
703,1205675,4586262,1883729,2324354
704,1206767,4586125,1882211,2324917
705,1207930,4586238,1881687,2324165
706,1210656,4584230,1882147,2322987
707,1211323,4584301,1881898,2322498
708,1214755,4581153,1881715,2322397
709,1216413,4579449,1881333,2322825
710,1219654,4576899,1881306,2322161
711,1219406,4576996,1880040,2323578
712,1221785,4575154,1879237,2323844
713,1224218,4573354,1879444,2323004
714,1225564,4572052,1877870,2324534
715,1227197,4571322,1877825,2323676
716,1227664,4572240,1876629,2323487
717,1227617,4572440,1875341,2324622
718,1229926,4570771,1873940,2325383
719,1233006,4568532,1873794,2324688
720,1233853,4567304,1873808,2325055
721,1235492,4566367,1872330,2325831
722,1236186,4567402,1870705,2325727
723,1238833,4565525,1870701,2324961
