Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1
51700,10000000000269.0,1000757,9998474854878.0,38533,111,200.0,9681,3,68514220,100557780670.0,9,200,3920,2,1903,0,0,260,39,232,992,2000,1047,401.0,51700,9.999999999e-11,0.000999756486697642,9.99999000001e-07,0.9999352353203812,0.09090909090909091,0.999000999000999,0.7624961005942915,0.1620717522854022,0.0009988487920120474,9.99999000001e-07,0.9999995005030057,0.9990127027796757,0.9998000297960601,0.9994507634622197,0.9999989999983,0.9900923185690415,0.9900895855683386,0.9944313946774943,0.9999490006125229,0.9999490025470726,0.9999999499238682,0.012038936781328509,0.999994992425704,0.9999999999999
51710,9999999999133.0,1001836,9998474330168.0,1256,111,200.0,24191,40,68086437,100557532834.0,100642,0,1,1990,0,0,0,1,3,3,0,2000,540,0.0,51710,9.999999999e-11,0.001000833329140867,9.99999000001e-07,0.9999352513173434,0.09090909090909091,0.999000999000999,0.7625140825175637,0.006239445591515499,0.0009988487433829393,9.99999000001e-07,0.9999995006232053,0.9523807444663168,0.9998000062190265,0.9994514000225486,0.9999989946121264,0.9900923211431175,0.9900895874503897,0.9944308577699756,0.9999490025468727,0.9999490025419728,0.999999949923914,0.012193385871640528,0.9999949924481788,0.9999999999999
51720,9999999999132.0,1001844,9998464115858.0,20010091,113,201.0,4412,6,67985956,100557367540.0,3200,200,0,1880,0,145,0,504,1,89,0,2000,0,401.0,51720,9.999999999e-11,0.0010008413131354832,9.99999000001e-07,0.99993609550832,0.09090909090909091,0.999000999000999,0.7624453046461651,0.9898878971731829,0.0009988467194170726,9.99999000001e-07,0.9999995006060944,0.9990018078359402,0.9998000284164498,0.9994517680227042,0.999998999995,0.9900923214168245,0.9900895878134615,0.9944354759748243,0.9999490025508724,0.9999490025488725,0.999999949923849,0.012383721878745155,0.9999949924539849,0.9999999999999
51730,9999999998970.0,1002058,9998473702565.0,599,110,201.0,14658,67,68129209,100557689513.0,64,200,2000,2051,2049,82,12,86,12,0,1987,2000,0,0.0,51730,9.999999999e-11,0.0010010548849441025,9.99999000001e-07,0.9999352758926595,0.09090909090909091,0.999000999000999,0.762482121481558,0.0029953432877050813,0.0009988486785750999,9.99999000001e-07,0.9999995008207749,0.9990053408901716,0.9998000286164043,0.9994516258677375,0.9999989965431917,0.9900923237871188,0.9900895916172531,0.9944341044508876,0.9999490025442728,0.9999490024221626,0.9999999499239667,0.012244548994266163,0.9999949924457834,0.9999999999999
51740,9999999999678.0,1001326,9998473604063.0,91087,102,200.0,5676,0,68332476,100557823650.0,2512,200,2000,0,0,109,0,2,4,89,1043,2000,273,0.0,51740,9.999999999e-11,0.0010003243492206924,9.99999000001e-07,0.9999352997777557,0.09090909090909091,0.999000999000999,0.7624952026785558,0.2697343163812004,0.0009988476666238045,9.99999000001e-07,0.9999995009333823,0.9990018178817041,0.9997999409434463,0.9994515162865314,0.999998999996,0.9900923255382613,0.9900895935750224,0.9944334266379308,0.9999490025508724,0.9999490025508724,0.9999999499238013,0.012225114010837266,0.9999949924317251,0.9999999999999
51750,9999999998933.0,1002086,9998473331536.0,55373,103,200.0,4373,6636,68278791,100557835070.0,102467,0,0,0,0,0,0,3,0,323,0,2000,1380,0.0,51750,9.999999999e-11,0.0010010828289123066,9.99999000001e-07,0.9999353157386696,0.09090909090909091,0.999000999000999,0.762112715853695,0.2537706551126945,0.0009988486437857028,9.99999000001e-07,0.9999995010988066,0.9523807446484975,0.9998000295961189,0.999451795376256,0.999998986130262,0.9900923273290341,0.990089596065199,0.9944290144221128,0.9999489993025227,0.9999490025468727,0.9999999499236598,0.012294228229193736,0.9999949924371584,0.9999999999999
51760,9999999999590.0,1001418,9998472934620.0,1312,111,200.0,10358,72,67985934,100557211620.0,2700,200,2000,2000,2000,0,10,2,609,609,0,2000,0,200.0,51760,9.999999999e-11,0.0010004161652446331,9.99999000001e-07,0.9999353403945571,0.09090909090909091,0.999000999000999,0.7623857737316663,0.9801685680250588,0.0009988476014632707,9.99999000001e-07,0.9999995012471664,0.9990019573623846,0.9998000295961189,0.9994531357982616,0.9999989999149927,0.9900923292891739,0.9900895996720669,0.9944400970684799,0.9999490025436727,0.9999490017462673,0.9999999499235178,0.012656735621312904,0.9999949924509858,0.9999999999999
51770,9999999999704.0,1001261,9998472707572.0,9996681,110,200.0,12210,17750,68174538,100557928953.0,103825,1,0,2,1998,62,10,578,0,3,1026,2000,68,0.0,51770,9.999999999e-11,0.001000259479193603,9.99999000001e-07,0.99993575100391,0.09090909090909091,0.999000999000999,0.7624495753281577,0.980238801260241,0.0009988475838945204,9.99999000001e-07,0.9999995011124492,0.9523807447270753,0.9997999670152612,0.9994523110177531,0.999998999996,0.9900923277499744,0.9900895968669957,0.9944365208020846,0.9999490006767638,0.9999490019511441,0.9999999499237237,0.012367562783148574,0.9999949924431505,0.9999999999999
51780,9999999998667.0,1002355,9998472493526.0,10075747,116,200.0,18576,64296,68302883,100558209476.0,203934,0,0,0,70,5,1,77,361,360,0,2000,320,400.0,51780,9.999999999e-11,0.0010013512905271836,9.99999000001e-07,0.9999357585728227,0.09090909090909091,0.999000999000999,0.7625091079024239,0.9802888329873212,0.0009988475546994307,9.99999000001e-07,0.9999995013581842,0.9523807447938313,0.9998000289962904,0.9994504384750046,0.9999989999929999,0.9900923302941522,0.990089600717826,0.9944334051401248,0.9999489997234468,0.9999490025408728,0.999999949923774,0.012231246673324099,0.9999949924357958,0.9999999999999
51790,9999999998541.0,1002465,9998472123681.0,10002454,99,200.0,20355,28504,68222318,100558517250.0,390,200,1910,0,0,0,0,0,0,315,0,2000,0,0.0,51790,9.999999999e-11,0.0010014610703281334,9.99999000001e-07,0.9999357608666295,0.09090909090909091,0.999000999000999,0.7625277542374886,0.9802900170611691,0.000998848523268022,9.99999000001e-07,0.9999995013379402,0.9583331244615344,0.9997997138942886,0.9994511400202949,0.9999989999929999,0.9900923308039277,0.9900896015020728,0.9944319137076961,0.9999490024949722,0.9999490025488725,0.9999999499239328,0.012135519063455126,0.9999949924364995,0.9999999999999
