Time,S,I,R
635,4212203,2548100,3239717
636,4214064,2546675,3239281
637,4214383,2545730,3239907
638,4216865,2545700,3237455
639,4218905,2545293,3235822
640,4218297,2545504,3236219
641,4219175,2544590,3236255
642,4220779,2544736,3234505
643,4222518,2544135,3233367
644,4224033,2543775,3232212
645,4225750,2542902,3231368
646,4227873,2543295,3228852
647,4231232,2542740,3226048
648,4232690,2542864,3224466
649,4235529,2542367,3222124
650,4236610,2541608,3221802
651,4239368,2541259,3219393
652,4238479,2541687,3219854
653,4240594,2541768,3217658
654,4239592,2541651,3218777
655,4241246,2542456,3216318
656,4243853,2542376,3213791
657,4245654,2542999,3211367
658,4244798,2542824,3212398
659,4243612,2543275,3213133
660,4244282,2543430,3212308
661,4246216,2543768,3210036
662,4248128,2544237,3207655
663,4247606,2543741,3208673
664,4247815,2543449,3208756
665,4249397,2543351,3207272
666,4250913,2543838,3205269
667,4253010,2543742,3203268
668,4252453,2543742,3203825
669,4253583,2543060,3203377
670,4253412,2542565,3204043
671,4252269,2543302,3204449
672,4252306,2543352,3204362
673,4252250,2544709,3203061
674,4254486,2544621,3200913
675,4255684,2545591,3198745
676,4254817,2545335,3199868
677,4254664,2546377,3198979
678,4255102,2546676,3198242
679,4255530,2546137,3198353
680,4254940,2547172,3197908
681,4256736,2547075,3196209
682,4255645,2546717,3197658
683,4255276,2547706,3197038
684,4254713,2547327,3197980
685,4255932,2547813,3196275
686,4256914,2548387,3194719
687,4257861,2547894,3194265
688,4256664,2547866,3195490
689,4256376,2547665,3195979
690,4255180,2548563,3196277
691,4253963,2548603,3197454
692,4255047,2549397,3195576
693,4253407,2549957,3196656
694,4254350,2550524,3195146
695,4253301,2551691,3195028
696,4253686,2551120,3195214
697,4252247,2551998,3195775
698,4250848,2551832,3197340
699,4249415,2552950,3197655
700,4251832,2551965,3196223
701,4252578,2551271,3196171
702,4254330,2551224,3194466
703,4252096,2551820,3196104
704,4252438,2553244,3194338
705,4250626,2553932,3195462
706,4250742,2553961,3195317
707,4248981,2554474,3196565
708,4247656,2554339,3198025
709,4248481,2554999,3196540
710,4249138,2555954,3194928
711,4247227,2556565,3196228
712,4247341,2556801,3195878
713,4248410,2557549,3194061
714,4250232,2557478,3192310
715,4250623,2557047,3192350
716,4250570,2556421,3193029
717,4250303,2555467,3194250
718,4250607,2555376,3194037
719,4251585,2556157,3192278
720,4251087,2555440,3193493
721,4252720,2554640,3192660
722,4253568,2554970,3191482
723,4253484,2555278,3191258
724,4255172,2554817,3190031
725,4255580,2555854,3188586
726,4254829,2556974,3188217
727,4252767,2558001,3189252
728,4251274,2557911,3190835
729,4250907,2558512,3190601
730,4251704,2559084,3189232
731,4251937,2558358,3189725
732,4250001,2558993,3191026
733,4250892,2559494,3189634
734,4251114,2560654,3188252
735,4252673,2560495,3186852
736,4252080,2561191,3186749
737,4249453,2561631,3188936
738,4247282,2561709,3191029
739,4245965,2561673,3192382
740,4244169,2561887,3193964
741,4244363,2561579,3194078
742,4246303,2560819,3192898
743,4246468,2561656,3191896
744,4245466,2560750,3193804
745,4243733,2561299,3194988
746,4244116,2562114,3193790
747,4244509,2561686,3193825
748,4243976,2561307,3194737
749,4243626,2561389,3195005
750,4243632,2561081,3195307
751,4245694,2560545,3193781
752,4245149,2559659,3195212
753,4246467,2559140,3194413
754,4247047,2558950,3194023
755,4245784,2559698,3194538
756,4244664,2559349,3196007
757,4246486,2559304,3194230
758,4247756,2559656,3192608
759,4246836,2559308,3193876
760,4247716,2559970,3192334
761,4248576,2560754,3190690
762,4246260,2561832,3191928
763,4247202,2562419,3190399
764,4245043,2562919,3192058
765,4246607,2562589,3190824
766,4245673,2562024,3192323
767,4245952,2561211,3192857
768,4247601,2561068,3191351
769,4248072,2560348,3191600
770,4250083,2559483,3190454
771,4250898,2560578,3188544
772,4249754,2560657,3189609
773,4250694,2561488,3187838
774,4251806,2561514,3186700
775,4251963,2561447,3186610
776,4254058,2561724,3184238
777,4253504,2561756,3184760
778,4253733,2562622,3183665
779,4254335,2563314,3182371
780,4254138,2563361,3182521
781,4252905,2564218,3182897
782,4251288,2564197,3184535
783,4251346,2564100,3184574
784,4250652,2564428,3184940
785,4249774,2564033,3186213
786,4250932,2563350,3185738
787,4252708,2563349,3183963
788,4252145,2563503,3184372
789,4252354,2562942,3184724
790,4253805,2562557,3183658
791,4255331,2562007,3182682
792,4257031,2561533,3181456
793,4257866,2561792,3180362
794,4258070,2562294,3179656
795,4258548,2561616,3179856
796,4258106,2561022,3180892
797,4259830,2561006,3179184
798,4258633,2560465,3180922
799,4259683,2560582,3179755
800,4256918,2561097,3182005
801,4254905,2561691,3183424
802,4254353,2562176,3183491
803,4253472,2562936,3183612
804,4252708,2563474,3183838
805,4252174,2562576,3185270
806,4253595,2562765,3183660
807,4251051,2563457,3185512
808,4249320,2563669,3187031
809,4250020,2563911,3186089
810,4251624,2563762,3184634
811,4251800,2563001,3185219
812,4253448,2562266,3184306
813,4253147,2563093,3183780
814,4253647,2564047,3182326
815,4251948,2563866,3184206
816,4249960,2564553,3185507
817,4248092,2564671,3187257
818,4247484,2565114,3187422
819,4248852,2564995,3186173
820,4248581,2565064,3186375
821,4247931,2565979,3186110
822,4249649,2566013,3184358
823,4251142,2565800,3183078
824,4250224,2565790,3184006
825,4248115,2566068,3185837
826,4247403,2566576,3186041
827,4247058,2566437,3186525
828,4246903,2566065,3187052
829,4247082,2565320,3187618
830,4245957,2565192,3188871
831,4244469,2565427,3190124
832,4242571,2564741,3192708
833,4244209,2564103,3191708
834,4243392,2563461,3193167
835,4244706,2563165,3192149
836,4245578,2563281,3191161
837,4244254,2563562,3192204
838,4244598,2562801,3192621
839,4246327,2562459,3191234
840,4245406,2562827,3191787
841,4244779,2563568,3191673
842,4245444,2564382,3190194
843,4244642,2564715,3190663
844,4244200,2565617,3190203
845,4245196,2565801,3189023
846,4246038,2565922,3188060
847,4247925,2565636,3186459
848,4245797,2565988,3188235
849,4243497,2566240,3190283
850,4244920,2566318,3188782
851,4243546,2566008,3190466
852,4241996,2566432,3191592
853,4241274,2566624,3192122
854,4241373,2566653,3191994
855,4240500,2566367,3193153
856,4238624,2566676,3194720
857,4236323,2567167,3196530
858,4236154,2567736,3196130
859,4235587,2568100,3196333
860,4235110,2568264,3196646
861,4236825,2568015,3195180
862,4237548,2567661,3194811
863,4235774,2567434,3196812
864,4235430,2566791,3197799
865,4235038,2567239,3197743
866,4237645,2566162,3196213
867,4238820,2566940,3194260
868,4239079,2566028,3194913
869,4241289,2564952,3193779
870,4243019,2564494,3192507
871,4244636,2564501,3190883
872,4244706,2564595,3190719
873,4243670,2564176,3192174
874,4242792,2563143,3194085
875,4245341,2561923,3192756
876,4243824,2561259,3194937
877,4241724,2562409,3195887
878,4242498,2562586,3194936
879,4241607,2562298,3196115
880,4242545,2563048,3194427
881,4241093,2562723,3196204
882,4241785,2562378,3195857
883,4243726,2561698,3194596
884,4243059,2562379,3194582
885,4242817,2563031,3194172
886,4240644,2563782,3195594
887,4241460,2563590,3194970
888,4241408,2563737,3194875
889,4240462,2563360,3196198
890,4240625,2563438,3195957
891,4242507,2563509,3194004
892,4241019,2563284,3195717
893,4240095,2563559,3196366
894,4240996,2563913,3195111
895,4241498,2564389,3194133
896,4242105,2564887,3193028
897,4243618,2563929,3192473
898,4244503,2564289,3191228
899,4244903,2563951,3191166
900,4245714,2564450,3189856
901,4244145,2564348,3191527
902,4246067,2564073,3189880
903,4245245,2563612,3191163
904,4244570,2562965,3192485
905,4245170,2563753,3191097
906,4245049,2564103,3190868
907,4243903,2563369,3192748
908,4244856,2563176,3191988
909,4246858,2562920,3190242
910,4247723,2563477,3188820
911,4247591,2563329,3189100
912,4247056,2562920,3190044
913,4248289,2563594,3188137
914,4248577,2564339,3187104
915,4249312,2565514,3185194
916,4248238,2565098,3186684
917,4248777,2564156,3187087
918,4246706,2564921,3188393
919,4247913,2564689,3187418
920,4248740,2563870,3187410
921,4248588,2563560,3187872
922,4246894,2564119,3189007
923,4245012,2564545,3190463
924,4244666,2564623,3190731
925,4244239,2565261,3190520
926,4243275,2565891,3190854
927,4244383,2565920,3189717
928,4242550,2566796,3190674
929,4241390,2566587,3192043
930,4239211,2567051,3193758
931,4239633,2567789,3192598
932,4238208,2567661,3194151
933,4237344,2567537,3195139
934,4237072,2567800,3195148
935,4235273,2568220,3196527
936,4234348,2567858,3197814
937,4235357,2568950,3195713
938,4236485,2569520,3194015
939,4238360,2568213,3193447
940,4240052,2567539,3192429
941,4239630,2566816,3193574
942,4240363,2566253,3193404
943,4238490,2567167,3194363
944,4236109,2567867,3196044
945,4236596,2567836,3195588
946,4235848,2566974,3197198
947,4236256,2566246,3197518
948,4236244,2566161,3197615
949,4236334,2565584,3198102
950,4236816,2566597,3196607
951,4238991,2565876,3195153
952,4238924,2565484,3195612
953,4239901,2565200,3194919
954,4239492,2565483,3195045
955,4239747,2566520,3193753
956,4239634,2566959,3193427
957,4240079,2567429,3192512
958,4239830,2567232,3192958
959,4239163,2567696,3193161
960,4239051,2568300,3192669
961,4240409,2567442,3192169
962,4239782,2568157,3192081
963,4237544,2569151,3193325
964,4238640,2568646,3192734
965,4238480,2568158,3193382
966,4238470,2567768,3193782
967,4239347,2567330,3193343
968,4241573,2566249,3192198
969,4242258,2566507,3191255
970,4242266,2565998,3191756
971,4243633,2566142,3190245
972,4244617,2566239,3189164
973,4244411,2567096,3188513
974,4242317,2567805,3189898
975,4241646,2568693,3189681
976,4239321,2569015,3191684
977,4237895,2568618,3193507
978,4236846,2567846,3195328
979,4235041,2567876,3197103
980,4237345,2567317,3195358
981,4236618,2566468,3196934
982,4237624,2565451,3196945
983,4240443,2564312,3195265
984,4239641,2564988,3195391
985,4237724,2565727,3196569
986,4240096,2564783,3195141
987,4239609,2565321,3195090
988,4239595,2565414,3195011
989,4237099,2565670,3197251
990,4238946,2565467,3195607
991,4239824,2565635,3194561
992,4241319,2565659,3193042
993,4241532,2566467,3192021
994,4240355,2566112,3193553
995,4238129,2566699,3195192
996,4238060,2566855,3195105
997,4238707,2567290,3194023
998,4237990,2568330,3193700
999,4235837,2568314,3195869
1000,4234292,2569043,3196685
1001,4232712,2569309,3197999
1002,4235086,2568353,3196581
1003,4236472,2567861,3195687
1004,4236567,2568022,3195431
1005,4238497,2566752,3194771
1006,4237345,2566177,3196498
1007,4238548,2566726,3194746
1008,4239382,2567017,3193621
1009,4240822,2566697,3192501
1010,4241250,2567694,3191076
1011,4239556,2567378,3193086
1012,4238754,2567138,3194128
1013,4239532,2567230,3193258
1014,4240349,2566090,3193581
1015,4238273,2566376,3195371
1016,4237636,2567315,3195069
1017,4239867,2566566,3193587
1018,4238792,2566255,3194973
1019,4236910,2566841,3196269
1020,4236355,2566889,3196776
1021,4237326,2566764,3195930
1022,4237143,2566695,3196182
1023,4235697,2565856,3198467
1024,4235623,2565772,3198625
1025,4235223,2566130,3198667
1026,4234589,2566329,3199102
1027,4234277,2565345,3200398
1028,4232489,2565774,3201757
1029,4231801,2566445,3201774
1030,4232260,2566044,3201716
1031,4233868,2566498,3199654
1032,4235590,2565754,3198676
1033,4233848,2566121,3200051
1034,4232317,2566151,3201552
1035,4231400,2566947,3201673
1036,4229997,2566947,3203076
1037,4232240,2566786,3200994
1038,4232205,2567075,3200740
1039,4232530,2566496,3200994
1040,4231262,2565707,3203051
1041,4230977,2565633,3203410
1042,4233184,2565052,3201784
1043,4234825,2565088,3200107
1044,4234271,2564513,3201236
1045,4235963,2564443,3199614
1046,4236446,2564096,3199478
1047,4236484,2563991,3199545
1048,4236016,2562844,3201160
1049,4236597,2562235,3201188
1050,4235082,2562058,3202880
1051,4237075,2561759,3201186
1052,4237569,2561215,3201236
1053,4240388,2559983,3199649
1054,4242677,2559389,3197954
1055,4242648,2559550,3197822
1056,4240982,2560296,3198742
1057,4241421,2559614,3198985
1058,4240314,2559069,3200637
1059,4239388,2558440,3202192
1060,4239910,2557650,3202460
1061,4241119,2557878,3201023
1062,4240367,2557053,3202600
1063,4238663,2557686,3203671
1064,4241240,2556261,3202519
1065,4242100,2557331,3200589
1066,4241835,2557556,3200629
1067,4243529,2558159,3198332
1068,4245254,2557688,3197078
1069,4245507,2557813,3196700
1070,4243788,2558658,3197574
