Time\ number,r2_1_100,r2_1_200,r1_1_300,r1_1_400,Time\ Probability,r2_1_100,r2_1_200,r1_1_300,r1_1_400
373200,967,968,967.0,1033.0,373200,0.00010328933021218909,0.00010318935085899135,9.99990000099999e-06,9.99990000099999e-06
373300,970,970,970.0,1030.0,373300,0.00010298939209261448,0.00010298939209261448,9.99990000099999e-06,9.99990000099999e-06
373400,965,965,965.0,1035.0,373400,0.00010348928885860313,0.00010348928885860313,9.99990000099999e-06,9.99990000099999e-06
373500,969,969,969.0,1031.0,373500,0.0001030893714857998,0.0001030893714857998,9.99990000099999e-06,9.99990000099999e-06
373600,968,968,968.0,1032.0,373600,0.00010318935085899135,0.00010318935085899135,9.99990000099999e-06,9.99990000099999e-06
373700,972,972,972.0,1028.0,373700,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
373800,973,973,973.0,1027.0,373800,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
373900,972,972,972.0,1028.0,373900,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
374000,972,972,972.0,1028.0,374000,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
374100,980,981,981.0,1019.0,374100,0.00010198959706109978,0.00010188961744798205,9.99990000099999e-06,9.99990000099999e-06
374200,980,980,982.0,1018.0,374200,0.00010198959706109978,0.00010198959706109978,9.99990000099999e-06,9.99990000099999e-06
374300,990,990,990.0,1010.0,374300,0.00010098980003019696,0.00010098980003019696,9.99990000099999e-06,9.99990000099999e-06
374400,995,995,995.0,1005.0,374400,0.00010048990076497312,0.00010048990076497312,9.99990000099999e-06,9.99990000099999e-06
374500,992,992,992.0,1008.0,374500,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
374600,986,986,986.0,1014.0,374600,0.00010138971908248506,0.00010138971908248506,9.99990000099999e-06,9.99990000099999e-06
374700,982,982,982.0,1018.0,374700,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
374800,993,993,993.0,1007.0,374800,0.00010068986053104453,0.00010068986053104453,9.99990000099999e-06,9.99990000099999e-06
374900,992,992,992.0,1008.0,374900,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
375000,996,997,997.0,1003.0,375000,0.00010038992085194648,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
375100,995,995,995.0,1005.0,375100,0.00010048990076497312,0.00010048990076497312,9.99990000099999e-06,9.99990000099999e-06
375200,993,993,993.0,1007.0,375200,0.00010068986053104453,0.00010068986053104453,9.99990000099999e-06,9.99990000099999e-06
375300,999,999,1001.0,999.0,375300,0.0001000899809929026,0.0001000899809929026,9.99990000099999e-06,9.99990000099999e-06
375400,998,998,1001.0,999.0,375400,0.0001001899609659112,0.0001001899609659112,9.99990000099999e-06,9.99990000099999e-06
375500,995,995,1005.0,995.0,375500,0.00010048990076497312,0.00010048990076497312,9.99990000099999e-06,9.99990000099999e-06
