Time\ number,r2_1_100,Time\ Probability,r2_1_100
6180,33,6180,0.0008995201350368224
6190,33,6190,0.0008995201350368224
6200,33,6200,0.0008995201350368224
6210,31,6210,0.0008995001710010461
6220,31,6220,0.0008995001710010461
6230,31,6230,0.0008995001710010461
6240,31,6240,0.0008995001710010461
6250,30,6250,0.0008994901889828587
6260,29,6260,0.0008994802069644721
6270,28,6270,0.0008994702249458857
6280,27,6280,0.0008994602429271
6290,27,6290,0.0008994602429271
6300,26,6300,0.0008994502609081148
6310,26,6310,0.0008994502609081148
6320,26,6320,0.0008994502609081148
6330,26,6330,0.0008994502609081148
6340,26,6340,0.0008994502609081148
6350,26,6350,0.0008994502609081148
6360,26,6360,0.0008994502609081148
6370,25,6370,0.0008994402788889303
6380,25,6380,0.0008994402788889303
6390,24,6390,0.0008994302968695461
6400,24,6400,0.0008994302968695461
6410,24,6410,0.0008994302968695461
6420,24,6420,0.0008994302968695461
6430,22,6430,0.0008994103328301798
6440,22,6440,0.0008994103328301798
6450,22,6450,0.0008994103328301798
6460,22,6460,0.0008994103328301798
6470,22,6470,0.0008994103328301798
6480,22,6480,0.0008994103328301798
6490,22,6490,0.0008994103328301798
6500,22,6500,0.0008994103328301798
6510,22,6510,0.0008994103328301798
6520,22,6520,0.0008994103328301798
6530,22,6530,0.0008994103328301798
6540,22,6540,0.0008994103328301798
6550,22,6550,0.0008994103328301798
6560,22,6560,0.0008994103328301798
6570,22,6570,0.0008994103328301798
6580,21,6580,0.0008994003508101973
6590,21,6590,0.0008994003508101973
6600,21,6600,0.0008994003508101973
6610,21,6610,0.0008994003508101973
6620,20,6620,0.0008993903687900153
6630,20,6630,0.0008993903687900153
6640,20,6640,0.0008993903687900153
6650,20,6650,0.0008993903687900153
6660,20,6660,0.0008993903687900153
6670,20,6670,0.0008993903687900153
6680,20,6680,0.0008993903687900153
6690,20,6690,0.0008993903687900153
6700,20,6700,0.0008993903687900153
6710,20,6710,0.0008993903687900153
6720,19,6720,0.0008993803867696338
6730,19,6730,0.0008993803867696338
6740,19,6740,0.0008993803867696338
6750,19,6750,0.0008993803867696338
6760,19,6760,0.0008993803867696338
6770,19,6770,0.0008993803867696338
6780,19,6780,0.0008993803867696338
6790,19,6790,0.0008993803867696338
6800,18,6800,0.0008993704047490532
6810,18,6810,0.0008993704047490532
6820,17,6820,0.0008993604227282727
6830,16,6830,0.0008993504407072929
6840,16,6840,0.0008993504407072929
6850,16,6850,0.0008993504407072929
6860,16,6860,0.0008993504407072929
6870,15,6870,0.0008993404586861136
6880,15,6880,0.0008993404586861136
6890,15,6890,0.0008993404586861136
6900,15,6900,0.0008993404586861136
6910,15,6910,0.0008993404586861136
6920,15,6920,0.0008993404586861136
6930,15,6930,0.0008993404586861136
6940,15,6940,0.0008993404586861136
6950,15,6950,0.0008993404586861136
6960,15,6960,0.0008993404586861136
6970,14,6970,0.0008993304766647351
6980,14,6980,0.0008993304766647351
6990,14,6990,0.0008993304766647351
7000,14,7000,0.0008993304766647351
7010,14,7010,0.0008993304766647351
7020,13,7020,0.0008993204946431568
7030,13,7030,0.0008993204946431568
7040,12,7040,0.0008993105126213792
7050,12,7050,0.0008993105126213792
7060,12,7060,0.0008993105126213792
7070,12,7070,0.0008993105126213792
7080,12,7080,0.0008993105126213792
7090,12,7090,0.0008993105126213792
7100,12,7100,0.0008993105126213792
7110,12,7110,0.0008993105126213792
7120,12,7120,0.0008993105126213792
7130,12,7130,0.0008993105126213792
7140,12,7140,0.0008993105126213792
7150,12,7150,0.0008993105126213792
7160,12,7160,0.0008993105126213792
7170,12,7170,0.0008993105126213792
7180,12,7180,0.0008993105126213792
7190,12,7190,0.0008993105126213792
7200,12,7200,0.0008993105126213792
7210,12,7210,0.0008993105126213792
7220,12,7220,0.0008993105126213792
7230,12,7230,0.0008993105126213792
7240,12,7240,0.0008993105126213792
7250,12,7250,0.0008993105126213792
7260,12,7260,0.0008993105126213792
7270,12,7270,0.0008993105126213792
7280,12,7280,0.0008993105126213792
7290,12,7290,0.0008993105126213792
7300,11,7300,0.0008993005305994022
7310,11,7310,0.0008993005305994022
7320,11,7320,0.0008993005305994022
7330,11,7330,0.0008993005305994022
7340,11,7340,0.0008993005305994022
7350,11,7350,0.0008993005305994022
7360,11,7360,0.0008993005305994022
7370,11,7370,0.0008993005305994022
7380,11,7380,0.0008993005305994022
7390,11,7390,0.0008993005305994022
7400,11,7400,0.0008993005305994022
7410,11,7410,0.0008993005305994022
7420,11,7420,0.0008993005305994022
7430,11,7430,0.0008993005305994022
7440,11,7440,0.0008993005305994022
7450,11,7450,0.0008993005305994022
7460,10,7460,0.0008992905485772257
7470,10,7470,0.0008992905485772257
7480,10,7480,0.0008992905485772257
7490,9,7490,0.0008992805665548496
7500,9,7500,0.0008992805665548496
7510,9,7510,0.0008992805665548496
7520,9,7520,0.0008992805665548496
7530,9,7530,0.0008992805665548496
7540,9,7540,0.0008992805665548496
7550,9,7550,0.0008992805665548496
7560,9,7560,0.0008992805665548496
7570,9,7570,0.0008992805665548496
7580,9,7580,0.0008992805665548496
7590,8,7590,0.0008992705845322741
7600,8,7600,0.0008992705845322741
7610,8,7610,0.0008992705845322741
7620,8,7620,0.0008992705845322741
7630,8,7630,0.0008992705845322741
7640,8,7640,0.0008992705845322741
7650,8,7650,0.0008992705845322741
7660,8,7660,0.0008992705845322741
7670,8,7670,0.0008992705845322741
