Time\ number,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_200::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,Time\ Probability,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_200::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1
6000,9999671451036.0,20014432,21,200.0,11,7264,20209837,10000001000.0,17,144,6000,9.99999000001e-07,0.9992806845650186,0.4736842105263158,0.999000999000999,0.998365524932546,0.05923997553334735,0.0009989672116851732,9.99999000001e-07,0.9986559446894359,0.0017848227486355023
6100,9999677288877.0,10007488,25,200.0,11000,14765,20181833,10000001000.0,15,29,6100,9.99999000001e-07,0.9992374729230448,0.4736842105263158,0.999000999000999,0.9983633590094761,0.03530125698248756,0.000998968794332201,9.99999000001e-07,0.9986649132527387,1.650883376417949e-05
6200,9999663358469.0,19897172,19,200.0,32,100857,20180591,10000001000.0,15,61,6200,9.99999000001e-07,0.9993009895806625,0.4736842105263158,0.999000999000999,0.9983643056008663,0.3843909500893573,0.0009989674040793055,9.99999000001e-07,0.9986790222122415,0.0017659575423688908
6300,9999669208616.0,9951670,23,201.0,9,66110,20156704,9999991168.0,19920,41,6300,9.99999000001e-07,0.9992600190826278,0.4736842105263158,0.999000999000999,0.9983631684254793,0.3782475672615101,0.000998966995449346,9.99999000001e-07,0.9987276058631922,0.0017746959579033725
6400,9999655230787.0,19985394,19,200.0,9031,102554,20153001,10000001000.0,32,84,6400,9.99999000001e-07,0.9993204567221243,0.4736842105263158,0.999000999000999,0.9983620120796198,0.4234874207966497,0.0009989665929358482,9.99999000001e-07,0.9987013526710579,0.003275293016336671
6500,9999661297458.0,9979815,20,200.0,2034,90274,20141076,10000001000.0,26,90,6500,9.99999000001e-07,0.9992809496268182,0.4736842105263158,0.999000999000999,0.9983621892393015,0.38665317697922896,0.000998966198230626,9.99999000001e-07,0.9987113833814847,0.0017845888079934212
6600,9999657279467.0,13185,23,200.0,8018,8000,20120082,9999991003.0,19935,0,6600,9.99999000001e-07,0.9992372218236664,0.4736842105263158,0.999000999000999,0.9983606544182383,0.038200674422592396,0.0009989667973961372,9.99999000001e-07,0.998759205146817,1.4345966758294206e-05
6700,9999653421594.0,10027218,20,201.0,12011,15495,20138934,10000000991.0,9983,30,6700,9.99999000001e-07,0.9993005701262729,0.4736842105263158,0.999000999000999,0.9983609934018994,0.07344952929066796,0.0009989654124469235,9.99999000001e-07,0.9987515340525329,3.440638286124072e-05
6800,9999649310920.0,10022575,20,200.0,11000,105955,20104795,9999991040.0,20096,64,6800,9.99999000001e-07,0.9993105808133965,0.4736842105263158,0.999000999000999,0.9983596017009722,0.39637969072156176,0.0009989650025480018,9.99999000001e-07,0.998783597049493,0.0017700124425522605
6900,9999635316721.0,19929896,24,200.0,6020,93938,20091548,9999991032.0,19979,93,6900,9.99999000001e-07,0.9993632407601714,0.4736842105263158,0.999000999000999,0.9983594325650308,0.43163346098893834,0.0009989655930095305,9.99999000001e-07,0.9987966001547572,0.0032694884216912827
7000,9999641229247.0,9963374,20,200.0,43,3405,20093314,10000001000.0,31,61,7000,9.99999000001e-07,0.9993291321441422,0.4736842105263158,0.999000999000999,0.9983600977300078,0.027083887149708677,0.0009989642018968467,9.99999000001e-07,0.9987820191929415,0.0017765940367544916
