Time\ number,r1_2_200,r2_1_300,Time\ Probability,r1_2_200,r2_1_300
3230,1.9999993540002583e+19,6459997419542,3230,9.999999999e-11,0.0032195994078377047
3240,1.9999993520002425e+19,6479997576919,3240,9.999999999e-11,0.0032295350986525783
3250,1.9999993500002152e+19,6501997776397,3250,9.999999999e-11,0.0032404641428727733
3260,1.9999993480002486e+19,6519997516191,3260,9.999999999e-11,0.0032494056995504175
3270,1.999999346000252e+19,6541997447945,3270,9.999999999e-11,0.0032603341750461995
3280,1.9999993440002527e+19,6561997546544,3280,9.999999999e-11,0.003270269024613972
3290,1.999999342000251e+19,6581997493672,3290,9.999999999e-11,0.0032802036008960844
3300,1.9999993400002417e+19,6599997584208,3300,9.999999999e-11,0.0032891446188347898
3310,1.999999338000242e+19,6621997569511,3310,9.999999999e-11,0.0033000722495476423
3320,1.999999336000273e+19,6641997258359,3320,9.999999999e-11,0.0033100061034473756
3330,1.9999993340002796e+19,6661997260759,3330,9.999999999e-11,0.0033199399150694612
3340,1.9999993320002626e+19,6681997340127,3340,9.999999999e-11,0.003329873566904991
3350,1.9999993300002607e+19,6699997392204,3350,9.999999999e-11,0.0033388136746454102
3360,1.999999328000293e+19,6721997121661,3360,9.999999999e-11,0.003349740089211504
3370,1.9999993260002996e+19,6741997036480,3370,9.999999999e-11,0.003359673065315052
3380,1.9999993240002994e+19,6761996994016,3380,9.999999999e-11,0.003369605864644129
3390,1.9999993220003144e+19,6779996856438,3390,9.999999999e-11,0.003378545165418564
3400,1.9999993200003043e+19,6799996957066,3400,9.999999999e-11,0.0033884776596456623
3410,1.999999318000306e+19,6819996938358,3410,9.999999999e-11,0.0033984098966338356
3420,1.9999993160002773e+19,6839997225743,3420,9.999999999e-11,0.003408342087659513
3430,1.99999931400028e+19,6859997200239,3430,9.999999999e-11,0.003418273925340756
3440,1.9999993120002695e+19,6881997371623,3440,9.999999999e-11,0.003429198817188169
3450,1.9999993100002562e+19,6901997399457,3450,9.999999999e-11,0.003439130265653533
3460,1.999999308000243e+19,6919997572714,3460,9.999999999e-11,0.0034480684736229884
3470,1.9999993060002517e+19,6941997507559,3470,9.999999999e-11,0.0034589925947936385
3480,1.9999993040002597e+19,6961997383535,3480,9.999999999e-11,0.003468923374040623
3490,1.999999302000257e+19,6979997428792,3490,9.999999999e-11,0.0034778609840328775
3500,1.999999300000272e+19,7001997271666,3500,9.999999999e-11,0.003488784406385529
3510,1.9999992980002755e+19,7019997247709,3510,9.999999999e-11,0.0034977216257614514
3520,1.9999992960002933e+19,7039997068324,3520,9.999999999e-11,0.0035076516056517545
3530,1.999999294000301e+19,7059996994011,3530,9.999999999e-11,0.003517581439809877
3540,1.9999992920002974e+19,7079997024948,3540,9.999999999e-11,0.0035275111283269867
3550,1.999999290000335e+19,7101996642730,3550,9.999999999e-11,0.003538433350477193
3560,1.999999288000346e+19,7121996515171,3560,9.999999999e-11,0.0035483625447463763
3570,1.999999286000316e+19,7139996838568,3570,9.999999999e-11,0.0035572988679485025
3580,1.999999284000328e+19,7161996658393,3580,9.999999999e-11,0.0035682205374138166
3590,1.999999282000334e+19,7181996676334,3590,9.999999999e-11,0.003578149210299102
3600,1.9999992800003396e+19,7199996603771,3600,9.999999999e-11,0.0035870848026871073
3610,1.999999278000333e+19,7219996673457,3610,9.999999999e-11,0.0035970131253288714
3620,1.9999992760003424e+19,7239996575608,3620,9.999999999e-11,0.0036069411669554115
3630,1.9999992740003434e+19,7259996565252,3630,9.999999999e-11,0.0036168690541708765
3640,1.999999272000348e+19,7279996519337,3640,9.999999999e-11,0.00362679672589806
3650,1.999999270000328e+19,7301996674306,3650,9.999999999e-11,0.003637717038295151
3660,1.999999268000363e+19,7319996369723,3660,9.999999999e-11,0.003646651447183984
3670,1.999999266000369e+19,7341996285233,3670,9.999999999e-11,0.003657571205514569
3680,1.9999992640003604e+19,7361996319330,3680,9.999999999e-11,0.003667498105886656
3690,1.9999992620003844e+19,7381996113048,3690,9.999999999e-11,0.003677424689143358
3700,1.999999260000403e+19,7399995971309,3700,9.999999999e-11,0.003686358466753113
3710,1.999999258000409e+19,7421995955147,3710,9.999999999e-11,0.003697277388661648
3720,1.9999992560004022e+19,7441996010484,3720,9.999999999e-11,0.003707203508382284
3730,1.9999992540004168e+19,7461995781704,3730,9.999999999e-11,0.003717129289313547
3740,1.999999252000438e+19,7479995621614,3740,9.999999999e-11,0.0037260623457908123
3750,1.9999992500004016e+19,7499995983864,3750,9.999999999e-11,0.0037359880442681126
3760,1.9999992480004223e+19,7519995777840,3760,9.999999999e-11,0.0037459132629591957
3770,1.9999992460004143e+19,7541995871721,3770,9.999999999e-11,0.0037568309341623972
3780,1.999999244000423e+19,7559995771305,3780,9.999999999e-11,0.0037657633083092233
3790,1.999999242000441e+19,7581995612289,3790,9.999999999e-11,0.003776680418961707
3800,1.9999992400004452e+19,7601995549404,3800,9.999999999e-11,0.003786604897911363
3810,1.9999992380004315e+19,7619995687000,3810,9.999999999e-11,0.0037955368562627143
3820,1.9999992360003965e+19,7641996145626,3820,9.999999999e-11,0.003806453620863429
3830,1.999999234000376e+19,7661996276979,3830,9.999999999e-11,0.0038163776029966475
3840,1.9999992320003867e+19,7681996133806,3840,9.999999999e-11,0.0038263012511937766
3850,1.9999992300003906e+19,7699996094494,3850,9.999999999e-11,0.0038352324099579236
3860,1.9999992280004088e+19,7721995990552,3860,9.999999999e-11,0.003846148025460164
3870,1.999999226000389e+19,7741996133305,3870,9.999999999e-11,0.0038560712224056932
3880,1.999999224000385e+19,7759996148729,3880,9.999999999e-11,0.0038650018745338935
3890,1.999999222000393e+19,7779996071791,3890,9.999999999e-11,0.0038749245868633583
3900,1.999999220000381e+19,7801996256776,3900,9.999999999e-11,0.003885839475865433
3910,1.9999992180003594e+19,7819996405729,3910,9.999999999e-11,0.0038947696604914074
3920,1.9999992160003355e+19,7839996647614,3920,9.999999999e-11,0.0039046919379552335
3930,1.999999214000347e+19,7859996529243,3930,9.999999999e-11,0.003914613839027459
3940,1.9999992120003654e+19,7881996353065,3940,9.999999999e-11,0.00392552767910721
3950,1.9999992100003586e+19,7899996412900,3950,9.999999999e-11,0.0039344571079303215
3960,1.9999992080003576e+19,7919996425056,3960,9.999999999e-11,0.00394437848079452
3970,1.999999206000378e+19,7941996229845,3970,9.999999999e-11,0.003955291659199849
3980,1.999999204000374e+19,7961996274546,3980,9.999999999e-11,0.003965212633166473
3990,1.999999202000376e+19,7981996274058,3990,9.999999999e-11,0.003975133387086696
4000,1.999999200000384e+19,8001996236488,4000,9.999999999e-11,0.003985053924989018
4010,1.9999991980003787e+19,8021996234139,4010,9.999999999e-11,0.003994974282743674
4020,1.9999991960003772e+19,8041996245142,4020,9.999999999e-11,0.0040048944495084315
4030,1.9999991940003828e+19,8059996174045,4030,9.999999999e-11,0.004013822390467269
4040,1.9999991920003916e+19,8081996084466,4040,9.999999999e-11,0.004024734099615943
4050,1.9999991900003873e+19,8101996088473,4050,9.999999999e-11,0.004034653670109714
4060,1.999999188000396e+19,8121996102433,4060,9.999999999e-11,0.004044573047950769
4070,1.999999186000398e+19,8139996023250,4070,9.999999999e-11,0.004053500273571442
4080,1.9999991840003998e+19,8159996001245,4080,9.999999999e-11,0.004063419258173461
4090,1.9999991820004217e+19,8179995784468,4090,9.999999999e-11,0.004073337948609829
4100,1.99999918000041e+19,8199995902281,4100,9.999999999e-11,0.0040832566074161135
4110,1.999999178000438e+19,8221995631366,4110,9.999999999e-11,0.004094166705300468
4120,1.9999991760004248e+19,8241995785597,4120,9.999999999e-11,0.004104084967296405
4130,1.9999991740004336e+19,8261995649083,4130,9.999999999e-11,0.004114002887562821
4140,1.999999172000463e+19,8279995373440,4140,9.999999999e-11,0.004122928771144948
4150,1.9999991700004667e+19,8301995292277,4150,9.999999999e-11,0.004133838093941034
4160,1.9999991680004596e+19,8319995406403,4160,9.999999999e-11,0.004142763815245174
4170,1.999999166000479e+19,8339995209566,4170,9.999999999e-11,0.004152680935229663
4180,1.9999991640004846e+19,8359995155745,4180,9.999999999e-11,0.00416259792861324
4190,1.999999162000482e+19,8379995181453,4190,9.999999999e-11,0.004172514763918411
4200,1.9999991600004706e+19,8399995292705,4200,9.999999999e-11,0.0041824314441311185
4210,1.999999158000479e+19,8421995170082,4210,9.999999999e-11,0.004193339442774221
4220,1.999999156000447e+19,8441995470017,4220,9.999999999e-11,0.004203255801789485
4230,1.9999991540004696e+19,8459995304148,4230,9.999999999e-11,0.004212180139971806
4240,1.999999152000463e+19,8481995444918,4240,9.999999999e-11,0.004223087617491475
4250,1.9999991500004696e+19,8501995344361,4250,9.999999999e-11,0.004233003185492638
4260,1.999999148000464e+19,8519995360919,4260,9.999999999e-11,0.004241927080934042
4270,1.9999991460004803e+19,8539995197309,4270,9.999999999e-11,0.004251842242489214
4280,1.999999144000485e+19,8559995150649,4280,9.999999999e-11,0.004261757264565538
4290,1.9999991420004954e+19,8581995088658,4290,9.999999999e-11,0.004272663555504585
4300,1.9999991400004887e+19,8599995115054,4300,9.999999999e-11,0.00428158674498124
4310,1.999999138000492e+19,8619995078920,4310,9.999999999e-11,0.0042915011799338956
4320,1.9999991360004813e+19,8639995186016,4320,9.999999999e-11,0.004301415488451363
4330,1.999999134000488e+19,8661995088489,4330,9.999999999e-11,0.0043123208930467205
4340,1.999999132000495e+19,8679995052969,4340,9.999999999e-11,0.004321243341072907
4350,1.9999991300004917e+19,8701995067815,4350,9.999999999e-11,0.004332148367045961
4360,1.9999991280005005e+19,8719994993967,4360,9.999999999e-11,0.004341070440727699
4370,1.999999126000509e+19,8739994911171,4370,9.999999999e-11,0.004350983668026928
4380,1.999999124000516e+19,8759994840323,4380,9.999999999e-11,0.004360896703849051
4390,1.999999122000494e+19,8779995059765,4390,9.999999999e-11,0.004370809686156686
4400,1.9999991200005075e+19,8799994923905,4400,9.999999999e-11,0.0043807222949731
4410,1.9999991180005216e+19,8821994825375,4410,9.999999999e-11,0.004391625961931927
4420,1.9999991160005186e+19,8841994847543,4420,9.999999999e-11,0.004401538234575808
4430,1.9999991140005007e+19,8859994993464,4430,9.999999999e-11,0.004410459173633366
4440,1.9999991120005173e+19,8879994828304,4440,9.999999999e-11,0.004420370978438142
4450,1.999999110000519e+19,8901994797624,4450,9.999999999e-11,0.0044312738106075614
4460,1.999999108000529e+19,8921994643530,4460,9.999999999e-11,0.004441185206453547
4470,1.999999106000551e+19,8941994466909,4470,9.999999999e-11,0.004451096393792016
4480,1.999999104000551e+19,8959994492998,4480,9.999999999e-11,0.004460016385373188
4490,1.9999991020005528e+19,8979994472055,4490,9.999999999e-11,0.004469927274917875
4500,1.999999100000542e+19,9001994682976,4500,9.999999999e-11,0.00448082914143474
