Time,A,B,S
7020,4425,0,100005576
7030,4450,0,100005551
7040,4418,0,100005583
7050,4391,0,100005610
7060,4418,0,100005583
7070,4426,0,100005575
7080,4418,0,100005583
7090,4360,0,100005641
7100,4359,0,100005642
7110,4342,0,100005659
7120,4301,0,100005700
7130,4271,0,100005730
7140,4260,0,100005741
7150,4254,0,100005747
7160,4290,0,100005711
7170,4252,0,100005749
7180,4207,0,100005794
7190,4221,0,100005780
7200,4246,0,100005755
7210,4259,0,100005742
7220,4259,0,100005742
7230,4242,0,100005759
7240,4202,0,100005799
7250,4256,0,100005745
7260,4236,0,100005765
7270,4203,0,100005798
7280,4190,0,100005811
7290,4173,0,100005828
7300,4134,0,100005867
7310,4145,0,100005856
7320,4180,0,100005821
7330,4133,0,100005868
7340,4142,0,100005859
7350,4122,0,100005879
7360,4097,0,100005904
7370,4122,0,100005879
7380,4110,0,100005891
7390,4055,0,100005946
7400,4009,0,100005992
7410,3981,0,100006020
7420,3973,0,100006028
7430,3966,0,100006035
7440,3917,0,100006084
7450,3908,0,100006093
7460,3943,0,100006058
7470,4004,0,100005997
7480,4026,0,100005975
7490,4030,0,100005971
7500,4048,0,100005953
7510,4024,0,100005977
7520,4012,0,100005989
7530,3986,0,100006015
7540,4013,0,100005988
7550,4009,0,100005992
7560,3905,0,100006096
7570,3872,0,100006129
7580,3825,0,100006176
7590,3829,0,100006172
7600,3807,0,100006194
7610,3817,0,100006184
7620,3773,0,100006228
7630,3794,0,100006207
7640,3817,0,100006184
7650,3812,0,100006189
7660,3849,0,100006152
7670,3874,0,100006127
7680,3848,0,100006153
7690,3811,0,100006190
7700,3816,0,100006185
7710,3841,0,100006160
7720,3773,0,100006228
7730,3762,0,100006239
7740,3736,0,100006265
7750,3684,0,100006317
7760,3691,0,100006310
7770,3673,0,100006328
7780,3633,0,100006368
7790,3608,0,100006393
7800,3611,0,100006390
7810,3605,0,100006396
7820,3605,0,100006396
7830,3601,0,100006400
7840,3549,0,100006452
7850,3520,0,100006481
7860,3509,0,100006492
7870,3547,0,100006454
7880,3577,0,100006424
7890,3591,0,100006410
7900,3604,0,100006397
7910,3620,0,100006381
7920,3646,0,100006355
7930,3628,0,100006373
7940,3594,0,100006407
7950,3568,0,100006433
7960,3537,0,100006464
7970,3503,0,100006498
7980,3549,0,100006452
7990,3558,0,100006443
8000,3565,0,100006436
8010,3574,0,100006427
8020,3549,0,100006452
8030,3515,0,100006486
8040,3522,0,100006479
8050,3520,0,100006481
8060,3489,0,100006512
8070,3513,0,100006488
8080,3524,0,100006477
8090,3513,0,100006488
8100,3482,0,100006519
8110,3492,0,100006509
8120,3466,0,100006535
8130,3444,0,100006557
8140,3435,0,100006566
8150,3395,0,100006606
8160,3398,0,100006603
8170,3390,0,100006611
8180,3359,0,100006642
8190,3321,0,100006680
8200,3308,0,100006693
8210,3347,0,100006654
8220,3351,0,100006650
8230,3368,0,100006633
8240,3339,0,100006662
8250,3341,0,100006660
8260,3351,0,100006650
8270,3354,0,100006647
8280,3342,0,100006659
8290,3326,0,100006675
8300,3293,0,100006708
8310,3337,0,100006664
8320,3313,0,100006688
8330,3312,0,100006689
8340,3287,0,100006714
8350,3279,0,100006722
8360,3280,0,100006721
8370,3262,0,100006739
8380,3297,0,100006704
8390,3286,0,100006715
8400,3246,0,100006755
8410,3229,0,100006772
8420,3218,0,100006783
8430,3184,0,100006817
8440,3212,0,100006789
8450,3226,0,100006775
8460,3201,0,100006800
8470,3197,0,100006804
8480,3185,0,100006816
8490,3176,0,100006825
8500,3189,0,100006812
8510,3204,0,100006797
8520,3146,0,100006855
8530,3176,0,100006825
8540,3176,0,100006825
8550,3190,0,100006811
8560,3192,0,100006809
8570,3232,0,100006769
8580,3248,0,100006753
8590,3244,0,100006757
8600,3214,0,100006787
8610,3232,0,100006769
8620,3183,0,100006818
8630,3181,0,100006820
8640,3177,0,100006824
8650,3185,0,100006816
8660,3142,0,100006859
8670,3129,0,100006872
8680,3142,0,100006859
8690,3148,0,100006853
8700,3121,0,100006880
8710,3115,0,100006886
8720,3130,0,100006871
8730,3134,0,100006867
8740,3126,0,100006875
8750,3096,0,100006905
8760,3127,0,100006874
8770,3150,0,100006851
8780,3203,0,100006798
8790,3202,0,100006799
8800,3182,0,100006819
8810,3151,0,100006850
