Time,N,P
65400,1624593250,86910217
65500,1624800895,87455171
65600,1624999968,88003715
65700,1625192410,88553508
65800,1625374755,89109012
65900,1625545083,89670026
66000,1625709338,90229783
66100,1625862443,90798514
66200,1626007660,91368199
66300,1626142955,91943135
66400,1626271382,92518582
66500,1626393013,93097543
66600,1626501796,93681212
66700,1626599919,94269319
66800,1626689710,94859593
66900,1626765599,95461130
67000,1626837471,96060258
67100,1626899396,96662390
67200,1626948719,97269310
67300,1626984316,97883719
67400,1627015681,98497682
67500,1627032703,99119933
67600,1627041534,99744151
67700,1627039388,100372277
67800,1627027776,101003069
67900,1627008790,101637728
68000,1626977150,102278903
68100,1626934167,102921521
68200,1626882933,103565618
68300,1626816993,104218141
68400,1626744124,104872193
68500,1626660545,105531180
68600,1626568424,106190495
68700,1626462336,106858961
68800,1626348273,107529771
68900,1626219389,108202143
69000,1626081702,108881519
69100,1625931469,109565431
69200,1625772674,110253978
69300,1625601346,110943633
69400,1625419643,111636849
69500,1625223837,112338745
69600,1625016070,113045083
69700,1624801503,113750875
69800,1624572693,114462846
69900,1624331811,115178315
70000,1624080758,115899735
70100,1623818472,116622894
70200,1623542876,117353117
70300,1623254012,118086395
70400,1622955402,118824813
70500,1622644361,119566975
70600,1622322692,120312338
70700,1621990089,121061164
70800,1621643413,121814899
70900,1621286626,122569316
71000,1620915249,123335051
71100,1620530727,124102236
71200,1620138186,124874271
71300,1619732255,125649114
71400,1619312666,126429930
71500,1618881476,127212810
71600,1618432335,128003322
71700,1617972347,128795787
71800,1617504843,129590407
71900,1617022806,130390636
72000,1616524616,131197579
72100,1616016660,132007648
72200,1615493662,132822070
72300,1614956354,133643441
72400,1614409852,134464756
72500,1613849367,135289026
72600,1613276330,136121225
72700,1612687553,136959714
72800,1612086172,137798939
72900,1611472115,138642042
73000,1610844316,139491835
73100,1610200340,140346897
73200,1609541604,141206346
73300,1608869622,142069127
73400,1608186863,142935009
73500,1607487775,143806481
73600,1606778016,144681749
73700,1606052916,145560522
73800,1605318828,146443562
73900,1604569045,147330481
74000,1603805143,148218549
74100,1603024745,149112281
74200,1602229431,150015057
74300,1601423275,150921463
74400,1600603336,151831534
74500,1599768686,152744065
74600,1598914852,153662676
74700,1598048781,154587154
74800,1597169853,155515118
74900,1596275657,156447083
75000,1595366826,157383021
75100,1594448169,158318523
75200,1593515257,159258166
75300,1592563973,160201036
75400,1591595791,161155243
75500,1590614557,162111851
75600,1589623031,163068818
75700,1588611923,164030265
75800,1587588663,164995228
75900,1586550997,165964383
76000,1585497757,166940105
76100,1584429229,167920751
76200,1583347475,168902742
76300,1582247944,169892402
76400,1581135291,170883939
76500,1580009732,171872525
76600,1578867253,172873291
76700,1577711238,173874551
76800,1576541113,174878612
76900,1575353108,175887720
77000,1574150976,176899875
77100,1572933201,177918098
77200,1571701426,178938067
77300,1570455715,179960873
77400,1569198281,180985426
77500,1567921841,182016098
77600,1566628792,183050620
77700,1565321015,184088844
77800,1563998892,185131712
77900,1562659728,186173413
78000,1561299917,187228461
78100,1559930676,188282248
78200,1558547214,189338501
78300,1557148163,190398436
78400,1555732896,191460796
78500,1554302353,192528561
78600,1552857005,193595356
78700,1551392103,194669152
78800,1549918495,195741694
78900,1548426950,196821473
79000,1546919104,197901619
79100,1545394813,198989877
79200,1543860632,200075989
79300,1542305909,201163167
79400,1540737647,202254863
79500,1539155834,203349545
79600,1537560556,204445183
79700,1535950095,205542995
79800,1534319485,206649192
79900,1532677694,207753360
80000,1531019306,208860543
80100,1529344869,209969168
80200,1527654508,211081540
80300,1525950822,212196684
80400,1524232860,213313801
80500,1522502036,214432315
80600,1520752459,215550392
80700,1518988667,216675112
80800,1517204790,217803374
80900,1515410518,218931028
81000,1513600945,220059713
81100,1511779165,221188633
81200,1509940816,222320475
81300,1508084369,223455729
81400,1506215318,224592404
81500,1504332646,225731089
81600,1502435659,226868994
81700,1500523937,228006910
81800,1498595732,229147244
81900,1496655276,230289201
82000,1494700105,231432279
82100,1492725878,232581422
82200,1490741069,233725378
82300,1488741164,234873959
82400,1486726675,236023764
82500,1484697769,237171343
82600,1482655555,238319721
82700,1480594859,239473313
82800,1478522866,240627693
82900,1476438069,241779963
83000,1474338594,242932390
83100,1472232484,244079299
83200,1470104912,245232388
83300,1467963699,246385967
83400,1465808436,247540816
83500,1463642461,248692835
83600,1461461194,249842813
83700,1459263498,250996796
83800,1457054189,252149668
83900,1454827921,253304404
84000,1452588943,254456912
84100,1450339892,255604078
84200,1448078625,256756183
84300,1445800821,257905841
84400,1443516427,259053024
84500,1441213856,260199727
84600,1438899548,261346040
84700,1436570103,262491896
84800,1434230971,263635430
84900,1431878434,264782226
85000,1429513246,265926035
85100,1427135880,267071205
85200,1424748220,268211941
85300,1422343194,269349325
85400,1419930191,270483326
85500,1417502684,271616986
85600,1415062376,272751085
85700,1412609387,273884496
85800,1410152622,275010512
85900,1407679603,276139171
86000,1405194537,277260588
86100,1402694508,278382802
86200,1400183941,279505411
