Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
2380,976909648,964670988495,244821425,12932931,3019766,8762316230
2390,967539912,964626637254,242458195,12773618,3555785,8773672490
2400,958257287,964581645696,240147462,12651026,2872110,8786072115
2410,949060631,964538129964,237840154,12524068,3318842,8797256305
2420,939952518,964494437143,235558885,12512417,2925582,8809050598
2430,930940058,964451392063,233294839,12284368,3178578,8820302157
2440,922015502,964407985612,231041497,12116254,2566605,8832260142
2450,913166663,964366315605,228820546,12199985,2787345,8843025461
2460,904411623,964323926513,226634069,11866156,2645502,8854442650
2470,895735002,964283174288,224461172,11899270,3052224,8864852332
2480,887142129,964242038252,222314281,11700618,3125657,8875717315
2490,878631914,964201361695,220181757,11733577,2821614,8886631138
2500,870206381,964160711007,218066721,11597406,2490508,8897638984
2510,861860261,964120747133,215993635,11397628,2529928,8908218548
2520,853598427,964081508850,213925301,11325628,2687983,8918462661
2530,845413217,964042365234,211865605,11216298,2682955,8928821925
2540,837305999,964003380461,209840218,11060431,2514949,8939278403
2550,829277592,963965094607,207826436,10908503,2687925,8949299544
2560,821324338,963926851104,205831951,10769200,2519499,8959555012
2570,813452168,963889859489,203850868,10745947,3006319,8968944698
2580,805654281,963852138055,201896693,10581712,2667428,8979199886
2590,797935134,963815646176,199949356,10632668,2792236,8988690606
2600,790285078,963778762723,198026301,10570986,2401536,8998716099
2610,782704758,963742563212,196133713,10437115,2468811,9008255603
2620,775196574,963706966465,194261876,10368197,2658147,9017515206
2630,767763186,963670762682,192402934,10114621,2271894,9027447365
2640,760407342,963635775257,190557031,9968738,2537320,9036529569
2650,753116900,963601024508,188724799,10003728,2375055,9045779518
2660,745891068,963565966340,186928110,9821667,1974404,9055384751
2670,738741753,963532223327,185136778,9706533,2432915,9063982021
2680,731659929,963498425944,183360448,9810779,2083326,9073085518
2690,724648041,963465497801,181592638,9822125,2483473,9081453723
2700,717699861,963432033079,179849542,9685525,2313959,9090451113
2710,710822362,963398938688,178139374,9574012,2083094,9099381158
2720,704004858,963366387982,176429335,9360383,2359779,9107845645
2730,697261420,963334093284,174736671,9161146,2515299,9116325464
2740,690576603,963301781559,173068319,9080274,2109642,9125165162
2750,683959797,963270383585,171412962,9113840,2077831,9133435570
2760,677409070,963239346169,169764636,9135679,2144623,9141545992
2770,670919885,963208159844,168123034,8947481,2216240,9149793360
2780,664490831,963177232124,166512612,8880745,1969474,9158146338
2790,658125461,963146922093,164915628,8902097,1869171,9166187643
2800,651824621,963116869429,163327922,8712513,2162153,9173972791
2810,645583718,963086948278,161760182,8740578,1851704,9182063818
2820,639399453,963057110471,160212499,8611173,1652816,9190124059
2830,633273136,963027544954,158691915,8308126,1760413,9197966410
2840,627203955,962998836875,157173248,8315823,1869665,9205437309
2850,621197708,962970171367,155662018,8203764,1986953,9212949557
2860,615246584,962941688467,154167898,8199490,1799457,9220586571
2870,609349671,962913600783,152697694,8133538,1841941,9227977156
2880,603515659,962885530840,151247080,7986813,1753338,9235497110
2890,597735077,962857969196,149796148,7902294,1835856,9242730625
2900,592010542,962830521315,148360914,7926920,1542565,9250159059
2910,586341820,962803985497,146945803,7840624,2099560,9256772193
2920,580727821,962777029405,145541413,7674823,2144236,9263911707
2930,575165264,962750012608,144149491,7694937,1513205,9271477103
2940,569653767,962723959135,142772283,7632278,1762662,9278179010
2950,564200201,962697652244,141390703,7587416,1504499,9285317181
2960,558794930,962672017949,140035412,7415257,1901479,9291852922
2970,553446280,962646241305,138690896,7355683,1672131,9298835010
2980,548149103,962620820387,137367671,7292120,1536722,9305654384
2990,542897293,962595699590,136057461,7150860,1636315,9312258071
3000,537700020,962570811378,134766557,7025291,1661045,9318847087
3010,532550762,962546383351,133476165,7091260,1569288,9325312525
3020,527450526,962522093879,132202438,6890990,1902481,9331553565
3030,522398283,962497888574,130938621,6885929,1707721,9338069446
3040,517396818,962473947982,129680595,6881488,1555949,9344485150
3050,512442819,962450098383,128439648,6779647,1448869,9350889017
3060,507535041,962426781598,127212353,6799362,1405651,9357047593
3070,502677719,962403396243,125989107,6676748,1364550,9363291876
3080,497861784,962380475833,124790942,6553494,1548883,9369244897
3090,493097193,962357764434,123599551,6478115,1620779,9375204362
3100,488377922,962335116340,122422604,6340943,1654954,9381203577
3110,483704978,962312887138,121244115,6411351,1512179,9387127377
3120,479079250,962290600150,120076337,6394393,1265353,9393184667
3130,474491493,962268936962,118929003,6400049,1383883,9398795572
3140,469949297,962247405074,117789629,6363054,1512891,9404385129
3150,465449916,962225796500,116663650,6235666,1534554,9410116214
3160,460994527,962204134694,115547102,6106897,1301486,9416049988
3170,456579082,962182971837,114439808,6060670,1214745,9421705695
3180,452207265,962162239245,113346077,6059125,1253704,9427133829
3190,447880898,962141574520,112254079,6032741,1223209,9432609073
3200,443593584,962121453500,111187030,5958273,1601528,9437659585
3210,439347943,962100636358,110124045,5810709,1251033,9443466270
3220,435142307,962080513324,109068983,5646315,1444517,9448697878
3230,430978916,962060667456,108024572,5552307,1573462,9453870743
3240,426857304,962040953713,106988518,5554402,1450139,9459149637
3250,422772345,962021315409,105968223,5613376,1094608,9464551448
3260,418729696,962002199919,104953122,5627465,1166839,9469522878
3270,414726289,961983139821,103938735,5523234,1371992,9474439750
3280,410754721,961964044814,102944373,5477818,1237175,9479585913
3290,406824503,961945425833,101961123,5482891,1278670,9484452813
3300,402932358,961926699965,100982407,5377116,1269080,9489439039
3310,399078998,961908181188,100016131,5232145,1352513,9494320213
3320,395258129,961889906925,99064290,5239149,1203241,9499235191
3330,391475461,961871879140,98119061,5152564,1314985,9503937929
3340,387729969,961853999719,97176088,5065011,1421557,9508607375
3350,384019224,961836342097,96239551,5135102,1276344,9513329779
3360,380343108,961818633622,95322523,5041294,1211033,9518082042
3370,376707215,961801031044,94406588,4940209,1102002,9522843986
3380,373101765,961783772486,93501524,4922367,1016120,9527458224
3390,369529222,961766690099,92610804,4875919,988961,9531995094
3400,365995486,961749996398,91727205,4826128,1180583,9536270598
3410,362495418,961733255539,90846595,4757302,1219478,9540681207
3420,359024015,961716680028,89988278,4768255,1082624,9545136828
3430,355587458,961700358304,89128547,4729930,1162971,9549391094
3440,352183994,961683874944,88281326,4622728,1049534,9553862418
3450,348814626,961667737998,87434066,4578553,1020190,9558152565
3460,345480127,961652089712,86590319,4587991,1222265,9562119298
3470,342174071,961636073374,85767455,4480696,1113333,9566464445
3480,338899504,961620434471,84944110,4473492,1057141,9570625753
3490,335657029,961605090854,84129930,4437861,1197226,9574577954
3500,332448564,961589594990,83324419,4371941,1083595,9578771481
3510,329271344,961574404692,82526047,4394186,952803,9582855620
3520,326121045,961559372345,81738114,4374490,924843,9586841508
3530,323003020,961544367990,80952852,4284456,928442,9590831230
3540,319914248,961529718594,80178484,4239586,1046978,9594620704
3550,316854723,961515098130,79410305,4166082,1116159,9598452731
3560,313825742,961500576381,78650254,4148924,1024803,9602350277
3570,310822071,961486085875,77904189,4052257,980510,9606240973
3580,307847995,961471960828,77160277,4094115,899787,9609997826
3590,304905268,961457940211,76421202,4085325,884883,9613703322
3600,301990803,961443922597,75689711,3999129,891994,9617428363
3610,299103377,961430051852,74964924,3964458,814656,9621152585
3620,296241340,961416686777,74252195,3976641,1011550,9624518274
3630,293408479,961403023305,73534048,3981731,823783,9628251959
3640,290603841,961389539153,72829076,3821540,993481,9631752062
3650,287824065,961376156743,72132502,3863450,736077,9635443906
3660,285072363,961363055585,71442047,3774611,890770,9638820209
3670,282346450,961349979277,70755711,3702287,921770,9642273782
3680,279646301,961337044863,70073576,3725666,787599,9645766858
3690,276973662,961324276081,69399824,3685516,810929,9649130069
3700,274325522,961311594982,68733919,3668878,753381,9652518300
3710,271703478,961299231658,68074105,3697301,800829,9655724287
3720,269102781,961286676429,67428448,3634953,710055,9659123763
3730,266528506,961274515483,66783109,3586595,878942,9662222848
3740,263980087,961262195370,66143881,3545839,751701,9665578492
3750,261457558,961250065663,65511911,3486012,727674,9668816845
3760,258958685,961238188959,64884152,3429939,841885,9671885339
3770,256482635,961226268129,64264131,3440653,663890,9675148691
3780,254028562,961214660578,63649869,3348651,899421,9678073497
3790,251598440,961202930768,63048830,3308383,773752,9681270595
3800,249192959,961191339259,62448148,3261815,699349,9684397729
3810,246807205,961180118261,61855711,3273738,774832,9687288514
3820,244451917,961168848348,61258957,3233292,797225,9690258609
3830,242113219,961157617083,60678479,3186208,756354,9693265740
3840,239796133,961146561259,60101843,3145902,779394,9696176728
3850,237502048,961135735350,59528885,3159069,822365,9698987633
3860,235231497,961124740496,58961229,3085949,758923,9701962402
3870,232984704,961114064967,58394745,3074414,793088,9704753049
3880,230757788,961103422541,57834151,3057688,773560,9707576813
3890,228550847,961092827969,57280363,3033031,717430,9710418329
3900,226364907,961082408731,56732776,3004963,740849,9713156505
3910,224201331,961071940354,56190810,2920848,720904,9715966107
3920,222059154,961061806157,55651503,2906143,802746,9718580454
3930,219936857,961051767239,55113453,2972147,735158,9721242385
3940,217833457,961041553189,54586496,2929885,600103,9724050059
3950,215753766,961031564983,54062414,2845344,671989,9726666487
3960,213689835,961021756182,53544583,2833407,696279,9729235896
3970,211647753,961011988482,53031385,2815180,672955,9731832727
3980,209627945,961002314890,52523059,2777611,678711,9734392674
3990,207623929,960992648851,52023876,2730452,620603,9737001140
4000,205637783,960983219577,51527411,2698872,688468,9739447466
4010,203671806,960973767758,51035332,2654016,666506,9741972340
4020,201726007,960964418265,50547576,2661248,549013,9744516156
4030,199795781,960955297256,50063878,2646186,630126,9746864029
4040,197885642,960946126350,49588573,2587168,643727,9749294890
4050,195993925,960937058390,49116114,2544224,645900,9751699837
4060,194118971,960928157120,48648051,2529020,679043,9754024915
4070,192263491,960919273477,48184443,2506464,653256,9756392346
4080,190426911,960910424828,47725317,2488099,565035,9758794638
4090,188608041,960901742427,47269012,2469725,563777,9761089445
4100,186805387,960893284274,46816955,2493302,625257,9763259099
4110,185021270,960884648341,46369733,2464798,524466,9765619733
4120,183252447,960876244561,45928152,2393944,662429,9767763028
4130,181499247,960867781875,45490037,2382095,550586,9770078035
