Time\ number,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ Probability,r2_1_100,r2_1_200,r2_1_300,r2_1_400
4600,115578399,28969668,1674842,398055,4600,0.0009596307787969605,0.004779807182564651,0.08763721821056418,0.32445040650385093
4610,114474759,28803323,1651810,410103,4610,0.0009596256530088414,0.004779780520091049,0.08763677899282339,0.3244492035119245
4620,113381961,28417371,1652767,496192,4620,0.0009596202718105696,0.004779755038243365,0.08763635279501038,0.32444797169956596
4630,112298342,28146278,1500162,526376,4630,0.0009596150167518,0.004779728950686394,0.08763594567609422,0.3244468035534777
4640,111226378,27877341,1636074,300850,4640,0.0009596097331368594,0.004779703444440954,0.08763549488997302,0.32444570571364356
4650,110162682,27612437,1616004,452657,4650,0.0009596047676813685,0.0047796787880762595,0.0876350805845974,0.3244444608138337
4660,109110454,27347755,1443108,464072,4660,0.0009595995852209041,0.00477965237021056,0.08763467055602034,0.32444336443956934
4670,108068862,27186850,1547949,295374,4670,0.0009595949496852208,0.0047796277314884434,0.0876342225267508,0.32444221679631735
4680,107037542,26822699,1532924,334233,4680,0.0009595896946940546,0.004779603942369958,0.08763382288424007,0.3244411235160982
4690,106015819,26565603,1519520,436095,4690,0.0009595847614205122,0.004779580148842773,0.08763342306290993,0.3244399432072662
4700,105001046,26413024,1392804,457429,4700,0.0009595803845834914,0.004779554614133682,0.0876330268867843,0.32443885962763613
4710,103996900,26161386,1381574,337775,4710,0.0009595756037548706,0.004779531096255161,0.08763261911761461,0.32443779453243005
4720,103003512,25910205,1358844,441585,4720,0.000959570830187249,0.004779507255281274,0.087632230213184,0.324436676421692
4730,102021079,25563575,1344411,440068,4730,0.000959565752739608,0.0047794851621332755,0.0876318467912108,0.3244355976453269
4740,101046492,25417610,1471148,288297,4740,0.000959561492069161,0.004779462225554746,0.0876314335928822,0.3244345409914692
4750,100080864,25175454,1327760,399661,4750,0.0009595568674800856,0.004779438711257338,0.08763106588477568,0.3244334576925318
4760,99126042,24837705,1329685,428446,4760,0.0009595521291934791,0.0047794168371276015,0.08763069824771096,0.32443242855398835
4770,98180657,24694630,1427630,312050,4770,0.0009595477373929294,0.004779393990841579,0.08763029475750478,0.32443146934447864
4780,97243033,24365970,1410723,394267,4780,0.0009595430821137084,0.004779372548319464,0.08762993444260982,0.3244303604347072
4790,96313242,24133720,1288363,387741,4790,0.0009595385532155589,0.0047793500851776045,0.0876295759212949,0.32442937507310227
4800,95394152,23901242,1360217,351174,4800,0.0009595341859647095,0.004779328938317061,0.08762919210943255,0.32442840095424486
4810,94481860,23672969,1232658,382873,4810,0.0009595297586512514,0.004779305813657031,0.08762884175882986,0.3244273898497091
4820,93578090,23536964,1345005,319781,4820,0.0009595258652536657,0.004779285489964511,0.08762846274043358,0.3244263992201168
4830,92685633,23223090,1326213,273299,4830,0.0009595212374594195,0.004779264090394158,0.08762811193518427,0.3244254590963763
4840,91800520,23001129,1215314,384426,4840,0.0009595170146777773,0.0047792425619981385,0.08762777852222993,0.3244244753692268
4850,90922706,22781873,1202575,434408,4850,0.0009595128650425274,0.004779221965454855,0.0876274335935323,0.3244235299720938
4860,90056544,22562866,1279095,399285,4860,0.0009595087831141251,0.004779202263384296,0.08762707289346225,0.32442251990613186
4870,89194399,22349664,1180710,298897,4870,0.0009595046458170951,0.004779181176356382,0.08762673600953529,0.3244216639573054
4880,88342353,22134697,1185894,329660,4880,0.0009595005282770629,0.004779161270258422,0.08762640146946998,0.3244206768248014
4890,87498852,22006721,1156442,415748,4890,0.0009594967706094084,0.004779140484255712,0.08762607009096375,0.3244197738940791
4900,86661830,21714562,1233757,309229,4900,0.0009594926447413155,0.004779121613662099,0.08762571061481494,0.3244188963925563
4910,85833895,21591965,1111732,288408,4910,0.0009594888719247142,0.00477910102459677,0.0876253882429215,0.32441796825770713
4920,85013540,21384846,1231211,239375,4920,0.0009594849667704024,0.00477908221286993,0.08762505545612667,0.3244170756930833
4930,84202709,21180414,1113001,348805,4930,0.0009594810985900063,0.0047790629239661915,0.08762474784272958,0.32441614608700303
4940,83398030,20977096,1207216,272260,4940,0.0009594772007885035,0.004779044070227347,0.08762441450215191,0.3244153387920316
4950,82599153,20778750,1096151,348450,4950,0.0009594734673840464,0.004779024518735058,0.08762411152903532,0.3244144251269729
4960,81810699,20579191,1189342,263755,4960,0.0009594696396997396,0.004779006561489236,0.0876237841784113,0.3244136092974554
4970,81028982,20382427,1071169,368799,4970,0.0009594659887677387,0.0047789873958657275,0.08762348791734918,0.32441271589816345
4980,80253621,20189982,1153372,280287,4980,0.0009594622965300883,0.004778969683818054,0.08762316445439869,0.32441189325656783
4990,79488591,19919171,1143492,250996,4990,0.0009594584399891487,0.0047789522516850464,0.08762285841052576,0.32441104763722145
5000,78728208,19806367,1130108,228693,5000,0.0009594549657804612,0.004778933396525645,0.08762255467686418,0.324410217214368
5010,77975593,19540973,1031511,349139,5010,0.0009594511193879632,0.004778915518350307,0.08762227898151258,0.32440940247443806
5020,77230348,19429240,1101543,247448,5020,0.0009594477469626316,0.004778897953978414,0.08762195906245727,0.3244086024665862
5030,76490598,19243810,990917,336086,5030,0.0009594442867000702,0.004778879819944864,0.08762167821797374,0.3244077562620807
5040,75760724,19059866,1104625,224167,5040,0.0009594408451814653,0.0047788633570184395,0.08762137765368766,0.324406989353534
5050,75037697,18804281,1009870,344890,5050,0.0009594371453911417,0.004778846719051516,0.08762111293228449,0.3244061855511665
5060,74320962,18624798,1078730,223608,5060,0.0009594338010148158,0.004778829926343663,0.08762080380560765,0.32440541180039245
5070,73610322,18446506,1048851,267152,5070,0.000959430491369727,0.004778813137205869,0.0876205206081976,0.3244046222848388
5080,72906911,18270037,956453,217365,5080,0.0009594269421839223,0.004778795523703287,0.08762025200456104,0.32440388216390786
5090,72210118,18164062,963174,193842,5090,0.0009594238046909781,0.004778778763183828,0.08761997032792117,0.3244031239379276
